,celltype,protocol,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
D101_5,gamma,celseq,5,1,14,11,9,6,15,1,3
D101_43,gamma,celseq,5,1,14,11,9,6,15,1,3
D101_93,gamma,celseq,5,1,14,11,9,6,15,1,3
D102_4,gamma,celseq,5,1,14,11,9,6,15,1,3
D172444_23,gamma,celseq,5,1,14,11,9,6,15,1,4
D172444_68,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All1_2,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All1_18,gamma,celseq,5,1,11,11,9,6,15,1,3
D17All1_28,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All1_72,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_14,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_28,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_38,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_46,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_63,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_85,gamma,celseq,5,1,14,11,9,6,15,1,3
D17All2_92,gamma,celseq,5,1,11,11,9,6,15,1,3
D73_20,gamma,celseq,5,2,14,11,9,4,15,1,4
D28-1_74,gamma,celseq2,5,2,14,3,4,5,7,1,2
D28-1_76,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-1_85,gamma,celseq2,2,1,14,7,4,1,15,3,3
D28-2_37,gamma,celseq2,5,1,14,3,4,6,15,1,3
D28-2_63,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-2_91,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-3_14,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-3_18,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-4_26,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-4_38,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-4_90,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-5_2,gamma,celseq2,5,1,14,11,9,6,15,1,3
D28-7_4,gamma,celseq2,5,1,14,11,9,6,15,1,3
