,paul15_clusters,paul15_label,celltype,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
0,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
1,15Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
2,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
3,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
4,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
5,15Mo,Mo,Mo,5,4,4,2,5,2,1,1,5
6,4Ery,Ery,Ery,2,5,5,1,1,1,6,0,0
7,2Ery,Ery,Ery,6,5,2,3,2,3,3,2,1
8,3Ery,Ery,Ery,2,3,2,1,7,1,5,0,1
9,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
10,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
11,17Neu,Neu,Neu,6,6,6,3,2,3,4,2,1
12,14Mo,Mo,Mo,7,4,1,2,6,2,7,1,5
13,13Baso,Baso,Baso,8,7,6,3,6,3,4,1,1
14,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
15,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
16,3Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
17,3Ery,Ery,Ery,1,8,3,1,7,1,5,0,0
18,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
19,8Mk,Mk,Mk,6,3,7,3,2,3,4,2,1
20,3Ery,Ery,Ery,2,3,2,1,1,1,5,0,0
21,9GMP,GMP,GMP,8,1,6,2,6,3,7,1,1
22,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
23,10GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
24,15Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
25,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
26,4Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
27,13Baso,Baso,Baso,8,3,6,3,2,3,4,2,1
28,17Neu,Neu,Neu,8,6,6,3,2,3,4,2,1
29,3Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
30,2Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
31,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,6
32,5Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
33,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,6
34,13Baso,Baso,Baso,7,11,1,2,6,2,7,1,5
35,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
36,3Ery,Ery,Ery,1,8,5,1,1,1,6,0,0
37,6Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
38,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
39,3Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
40,3Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
41,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
42,19Lymph,Lymph,Lymph,6,7,8,3,8,3,2,2,7
43,12Baso,Baso,Baso,8,4,6,3,2,3,4,2,1
44,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
45,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
