,leiden_labels,desc_labels,ctec_db_labels
D101_5,8,7,15
D101_43,8,7,15
D101_93,8,7,15
D102_4,8,7,15
D172444_23,8,7,15
D172444_68,8,7,15
D17All1_2,8,7,15
D17All1_18,8,7,15
D17All1_28,8,7,15
D17All1_72,8,7,15
D17All2_14,8,7,15
D17All2_28,8,7,15
D17All2_38,8,7,15
D17All2_46,8,7,15
D17All2_63,8,7,15
D17All2_85,8,7,15
D17All2_92,8,7,15
D73_20,8,7,15
D28-1_74,8,7,15
D28-1_76,8,7,15
D28-1_85,8,7,15
D28-2_37,8,7,15
D28-2_63,8,7,15
D28-2_91,8,7,15
D28-3_14,8,7,15
D28-3_18,8,7,15
D28-4_26,8,7,15
D28-4_38,8,7,15
D28-4_90,8,7,15
D28-5_2,8,7,15
D28-7_4,8,7,15
D28-8_38,8,7,15
D29-1_12,8,7,15
D29-1_15,8,7,15
D29-1_35,8,7,15
D29-1_58,8,7,15
D29-1_66,8,7,15
D29-1_67,8,7,15
D29-1_71,8,7,15
D29-1_72,8,7,15
D29-1_73,8,7,15
D29-1_86,8,7,15
D29-1_90,8,7,15
D29-2_19,8,7,15
D29-2_42,8,7,15
D29-2_43,8,7,15
D29-2_47,8,7,15
D29-2_58,8,7,15
D29-2_59,8,7,15
D29-2_64,8,7,15
D29-2_68,8,7,15
D29-2_78,8,7,15
D29-2_87,8,7,15
D29-2_92,8,7,15
D29-3_15,8,7,15
D29-3_16,8,7,15
D29-3_32,8,7,15
D29-3_44,8,7,15
D29-3_71,8,7,15
D29-4_3,8,7,15
D29-4_4,8,7,15
D29-4_6,8,7,15
D29-4_20,8,7,15
D29-4_48,8,7,15
D29-4_86,8,7,15
D29-5_6,8,7,15
D29-5_51,8,7,15
D29-5_79,8,7,15
D29-6_4,8,7,15
D29-6_6,8,7,15
D29-6_9,8,7,15
D29-6_11,8,7,15
D29-6_33,8,7,15
D29-6_55,8,7,15
D29-6_88,8,7,15
D29-7_8,8,7,15
D29-7_23,12,7,15
D29-7_30,8,7,15
D29-7_34,8,7,15
D29-7_35,8,7,15
D29-7_36,8,7,15
D29-7_40,8,7,15
D29-7_60,8,7,15
D29-7_61,8,7,15
D29-7_77,8,7,15
D29-7_89,8,7,15
D29-7_93,8,7,15
D29-7_94,8,7,15
D29-8_19,8,7,15
