,desc_labels
D101_5,7
D101_43,7
D101_93,7
D102_4,7
D172444_23,7
D172444_68,7
D17All1_2,7
D17All1_18,7
D17All1_28,7
D17All1_72,7
D17All2_14,7
D17All2_28,7
D17All2_38,7
D17All2_46,7
D17All2_63,7
D17All2_85,7
D17All2_92,7
D73_20,7
D28-1_74,7
D28-1_76,7
D28-1_85,7
D28-2_37,7
D28-2_63,7
D28-2_91,7
D28-3_14,7
D28-3_18,7
D28-4_26,7
D28-4_38,7
D28-4_90,7
D28-5_2,7
D28-7_4,7
D28-8_38,7
D29-1_12,7
D29-1_15,7
D29-1_35,7
D29-1_58,7
D29-1_66,7
D29-1_67,7
D29-1_71,7
D29-1_72,7
D29-1_73,7
D29-1_86,7
D29-1_90,7
D29-2_19,7
D29-2_42,7
D29-2_43,7
D29-2_47,7
D29-2_58,7
D29-2_59,7
D29-2_64,7
D29-2_68,7
D29-2_78,7
D29-2_87,7
D29-2_92,7
D29-3_15,7
D29-3_16,7
D29-3_32,7
D29-3_44,7
D29-3_71,7
D29-4_3,7
D29-4_4,7
D29-4_6,7
D29-4_20,7
D29-4_48,7
D29-4_86,7
D29-5_6,7
D29-5_51,7
D29-5_79,7
D29-6_4,7
D29-6_6,7
D29-6_9,7
D29-6_11,7
D29-6_33,7
D29-6_55,7
D29-6_88,7
D29-7_8,7
D29-7_23,7
D29-7_30,7
D29-7_34,7
D29-7_35,7
D29-7_36,7
D29-7_40,7
D29-7_60,7
D29-7_61,7
D29-7_77,7
D29-7_89,7
D29-7_93,7
D29-7_94,7
D29-8_19,7
D29-8_43,7
D29-8_48,7
D30-2_8,7
D30-3_15,7
D30-3_21,7
D30-5_74,7
D30-6_90,7
D31-1_65,7
D31-1_79,7
D31-1_80,7
D31-1_81,7
D31-2_55,7
D31-2_60,7
D31-3_30,7
D31-3_51,7
D31-3_54,7
D31-3_56,7
D31-3_61,7
D31-3_72,7
D31-3_77,7
D31-4_4,7
D31-4_15,7
D31-4_37,7
D31-4_40,7
D31-6_5,7
D31-6_32,7
D31-6_71,7
D31-7_15,7
D31-7_79,7
D31-7_92,7
D31-8_10,7
D31-8_15,7
D31-8_16,7
D31-8_25,7
D31-8_26,7
D31-8_36,7
D31-8_67,7
D31-8_70,7
D31-8_87,7
10th_C58_S111,7
10th_C6_S88,7
10th_C78_S114,7
10th_C8_S52,7
11th-C10_S63,7
11th-C39_S21,7
3rd-C40_S57,7
3rd-C44_S32,7
3rd-C47_S35,7
3rd-C53_S67,7
5th-C9_S92,7
7th-C24_S40,7
7th-C82_S64,7
8th-C69_S119,7
8th-C91_S158,7
8th-C92_S157,7
9th-C66_S33,7
9th-C79_S57,7
AZ_A2,7
AZ_H5,7
AZ_G5,7
AZ_D8,7
AZ_D12,7
HP1502401_H13,7
HP1502401_L14,7
HP1502401_K14,7
HP1502401_F17,7
HP1502401_E5,7
HP1502401_E7,7
HP1502401_B18,7
HP1502401_K24,7
HP1502401_K23,7
HP1502401_F18,7
HP1502401_G11,7
HP1502401_G12,7
HP1502401_N23,7
HP1502401_B15,7
HP1502401_N11,7
HP1502401_N9,7
HP1502401_F15,7
HP1502401_B11,7
HP1502401_I8,7
HP1504101T2D_B4,7
HP1504101T2D_B10,7
HP1504101T2D_G16,7
HP1504101T2D_A15,7
HP1504101T2D_K2,7
HP1504101T2D_B22,7
HP1504101T2D_G4,7
HP1504101T2D_L13,7
HP1504101T2D_B24,7
HP1504101T2D_H14,7
HP1504101T2D_A20,7
HP1504101T2D_I7,7
HP1504101T2D_E11,7
