,leiden_labels,desc_labels,ctec_db_labels
0,12,12,2
1,2,1,0
2,5,3,7
3,1,2,0
4,12,12,2
5,4,5,6
6,2,2,0
7,8,7,9
8,4,5,6
9,2,0,0
10,15,7,9
11,5,3,7
12,10,9,1
13,4,5,6
14,7,6,8
15,0,1,0
16,4,5,6
17,0,2,0
18,7,6,8
19,1,1,0
20,10,9,1
21,3,6,8
22,0,2,0
23,12,12,2
24,8,7,9
25,0,2,0
26,12,12,2
27,3,4,5
28,2,2,0
29,2,2,0
30,1,2,0
31,5,3,7
32,1,2,0
33,3,4,5
34,4,5,6
35,8,7,9
36,4,5,6
37,12,12,2
38,15,7,9
39,1,1,0
40,4,5,6
41,0,0,0
42,3,4,5
43,5,3,7
44,2,2,0
45,3,4,5
46,11,5,6
47,6,3,7
48,14,13,4
49,7,6,8
50,8,7,9
51,3,4,5
52,4,5,6
53,15,10,3
54,9,11,10
55,3,4,5
56,2,2,0
57,16,3,7
58,4,5,6
59,11,2,0
60,1,1,0
61,16,3,7
62,5,3,7
63,0,2,0
64,7,6,8
65,5,3,7
66,7,6,8
67,1,2,0
68,9,11,10
69,7,6,8
70,4,5,6
71,7,6,8
72,2,2,0
73,13,10,3
74,3,4,5
75,4,5,6
76,1,0,0
77,2,0,0
78,9,11,10
79,2,2,0
80,5,3,7
81,1,1,0
82,0,2,0
83,2,2,0
84,7,6,8
85,10,9,1
86,14,13,4
87,14,13,4
88,1,2,0
89,7,6,8
90,1,2,0
91,14,13,4
92,2,2,0
93,2,2,0
94,9,11,10
95,2,2,0
96,8,7,9
97,0,1,0
98,7,6,8
99,1,1,0
100,12,12,2
101,16,3,7
102,1,2,0
103,4,5,6
104,1,2,0
105,3,4,5
106,0,2,0
107,7,6,8
108,8,7,9
109,1,2,0
110,2,1,0
111,10,9,1
112,3,4,5
113,0,2,0
114,13,10,3
115,3,4,5
116,0,2,0
117,2,2,0
118,5,3,7
119,2,2,0
120,3,4,5
121,3,4,5
122,11,5,6
123,9,11,10
124,2,9,1
125,3,4,5
126,1,3,7
127,11,5,6
128,14,13,4
129,5,3,7
130,1,2,0
131,3,4,5
132,4,5,6
133,11,5,6
134,1,2,0
135,2,2,0
136,9,11,10
137,5,3,7
138,1,2,0
139,9,11,10
140,8,7,9
141,2,2,0
142,1,0,0
143,0,2,0
144,16,3,7
145,5,3,7
146,2,2,0
147,1,2,0
148,2,2,0
149,7,6,8
150,3,4,5
151,12,12,2
152,4,5,6
153,8,7,9
154,5,3,7
155,1,2,0
156,8,7,9
157,1,2,0
158,1,2,0
159,11,2,0
160,2,2,0
161,0,2,0
162,7,6,8
163,4,5,6
164,3,4,5
165,5,3,7
166,2,2,0
167,5,3,7
168,3,4,5
169,8,7,9
170,5,3,7
171,2,2,0
172,3,4,5
173,4,5,6
174,3,4,5
175,16,3,7
176,0,1,0
177,2,0,0
178,4,5,6
179,2,2,0
180,8,7,9
181,0,2,0
182,0,2,0
183,3,4,5
184,3,4,5
185,13,10,3
186,1,1,0
187,3,4,5
188,0,0,0
189,0,2,0
190,5,3,7
191,13,10,3
192,3,4,5
193,3,4,5
194,12,12,2
195,13,10,3
196,7,6,8
197,5,3,7
198,8,7,9
199,1,2,0
200,3,4,5
201,2,2,0
202,5,3,7
203,4,5,6
204,7,6,8
205,1,0,0
206,3,4,5
207,5,3,7
208,3,4,5
209,0,2,0
210,2,2,0
211,5,3,7
212,16,3,7
213,1,0,0
214,4,5,6
215,3,4,5
216,7,6,8
217,4,5,6
218,2,1,0
219,8,7,9
220,2,1,0
221,0,1,0
222,1,2,0
223,1,2,0
224,2,2,0
225,4,5,6
226,1,3,7
227,0,2,0
228,5,3,7
229,2,2,0
230,1,2,0
231,2,2,0
232,1,2,0
233,1,2,0
234,7,6,8
235,3,4,5
236,0,5,6
237,2,2,0
238,1,1,0
239,4,5,6
240,13,10,3
241,4,5,6
242,2,1,0
243,1,1,0
244,2,2,0
245,1,2,0
246,4,5,6
247,2,2,0
248,2,0,0
249,11,2,0
250,5,3,7
251,1,2,0
252,2,0,0
253,13,10,3
254,1,2,0
255,2,2,0
256,0,1,0
257,7,6,8
258,3,4,5
259,2,2,0
260,13,10,3
261,5,3,7
262,7,6,8
263,7,6,8
264,3,4,5
265,4,5,6
266,2,3,7
267,12,12,2
268,3,4,5
269,2,3,7
270,4,5,6
271,5,3,7
272,0,5,6
273,3,4,5
274,3,4,5
275,8,7,9
276,13,10,3
277,3,4,5
278,14,13,4
279,1,0,0
280,1,3,7
281,10,9,1
282,5,3,7
283,1,1,0
284,0,2,0
285,2,2,0
286,3,4,5
287,6,8,0
288,0,1,0
289,15,10,3
290,0,2,0
291,0,2,0
292,2,1,0
293,3,4,5
294,5,3,7
295,0,2,0
296,0,2,0
297,0,2,0
298,1,3,7
299,0,2,0
300,0,2,0
301,0,2,0
302,0,2,0
303,0,2,0
304,0,2,0
305,0,2,0
306,0,1,0
307,2,0,0
308,0,2,0
309,0,2,0
310,0,2,0
311,0,2,0
312,0,2,0
313,0,1,0
