,leiden_labels,desc_labels,ctec_ob_labels
0,12,12,4
1,2,1,0
2,5,3,13
3,1,2,0
4,12,12,4
5,4,5,12
6,2,2,0
7,8,7,16
8,4,5,12
9,2,0,10
10,15,7,7
11,5,3,13
12,10,9,2
13,4,5,12
14,7,6,15
15,0,1,0
16,4,5,12
17,0,2,0
18,7,6,15
19,1,1,0
20,10,9,2
21,3,6,11
22,0,2,0
23,12,12,4
24,8,7,16
25,0,2,0
26,12,12,4
27,3,4,11
28,2,2,0
29,2,2,0
30,1,2,0
31,5,3,13
32,1,2,0
33,3,4,11
34,4,5,12
35,8,7,16
36,4,5,12
37,12,12,4
38,15,7,5
39,1,1,0
40,4,5,12
41,0,0,0
42,3,4,11
43,5,3,13
44,2,2,0
45,3,4,11
46,11,5,12
47,6,3,14
48,14,13,6
49,7,6,15
50,8,7,16
51,3,4,11
52,4,5,12
53,15,10,5
54,9,11,17
55,3,4,11
56,2,2,0
57,16,3,8
58,4,5,12
59,11,2,12
60,1,1,0
61,16,3,8
62,5,3,13
63,0,2,0
64,7,6,15
65,5,3,13
66,7,6,15
67,1,2,0
68,9,11,17
69,7,6,15
70,4,5,12
71,7,6,15
72,2,2,0
73,13,10,5
74,3,4,11
75,4,5,12
76,1,0,0
77,2,0,0
78,9,11,17
79,2,2,0
80,5,3,13
81,1,1,0
82,0,2,0
83,2,2,0
84,7,6,15
85,10,9,2
86,14,13,6
87,14,13,6
88,1,2,0
89,7,6,15
90,1,2,0
91,14,13,6
92,2,2,0
93,2,2,0
94,9,11,17
95,2,2,0
96,8,7,16
97,0,1,0
98,7,6,15
99,1,1,0
100,12,12,4
101,16,3,8
102,1,2,0
103,4,5,12
104,1,2,0
105,3,4,11
106,0,2,0
107,7,6,15
108,8,7,16
109,1,2,0
110,2,1,10
111,10,9,2
112,3,4,11
113,0,2,0
114,13,10,5
115,3,4,11
116,0,2,0
117,2,2,0
118,5,3,13
119,2,2,0
120,3,4,11
121,3,4,11
122,11,5,12
123,9,11,17
124,2,9,2
125,3,4,11
126,1,3,0
127,11,5,12
128,14,13,6
129,5,3,13
130,1,2,0
131,3,4,11
132,4,5,12
133,11,5,12
134,1,2,0
135,2,2,10
136,9,11,17
137,5,3,13
138,1,2,0
139,9,11,17
140,8,7,16
141,2,2,0
142,1,0,0
143,0,2,0
144,16,3,8
145,5,3,13
146,2,2,0
147,1,2,0
148,2,2,0
149,7,6,15
150,3,4,11
151,12,12,4
152,4,5,12
153,8,7,16
154,5,3,13
155,1,2,0
156,8,7,16
157,1,2,0
158,1,2,0
159,11,2,12
160,2,2,10
161,0,2,0
162,7,6,15
163,4,5,12
164,3,4,11
165,5,3,13
166,2,2,0
167,5,3,13
168,3,4,11
169,8,7,16
170,5,3,13
171,2,2,0
172,3,4,11
173,4,5,12
174,3,4,11
175,16,3,13
176,0,1,0
177,2,0,0
178,4,5,12
179,2,2,0
180,8,7,16
181,0,2,0
182,0,2,0
183,3,4,11
184,3,4,11
185,13,10,5
186,1,1,0
187,3,4,11
188,0,0,0
189,0,2,0
190,5,3,13
191,13,10,5
192,3,4,11
193,3,4,11
194,12,12,4
195,13,10,5
196,7,6,15
197,5,3,13
198,8,7,16
199,1,2,0
200,3,4,11
201,2,2,0
202,5,3,13
203,4,5,12
204,7,6,15
205,1,0,14
206,3,4,11
207,5,3,13
208,3,4,11
209,0,2,0
210,2,2,0
211,5,3,13
212,16,3,8
213,1,0,0
214,4,5,12
215,3,4,11
216,7,6,15
217,4,5,12
218,2,1,0
219,8,7,16
220,2,1,0
221,0,1,0
222,1,2,0
223,1,2,0
224,2,2,0
225,4,5,12
226,1,3,0
227,0,2,0
228,5,3,13
229,2,2,0
230,1,2,0
231,2,2,0
232,1,2,0
233,1,2,0
234,7,6,15
235,3,4,11
236,0,5,0
237,2,2,0
238,1,1,0
239,4,5,12
240,13,10,5
241,4,5,12
242,2,1,0
243,1,1,0
244,2,2,10
245,1,2,0
246,4,5,12
247,2,2,0
248,2,0,14
249,11,2,12
250,5,3,13
251,1,2,0
252,2,0,14
253,13,10,5
254,1,2,0
255,2,2,0
256,0,1,0
257,7,6,15
258,3,4,11
259,2,2,0
260,13,10,5
261,5,3,13
262,7,6,15
263,7,6,15
264,3,4,11
265,4,5,12
266,2,3,13
267,12,12,4
268,3,4,11
269,2,3,10
270,4,5,12
271,5,3,13
272,0,5,0
273,3,4,11
274,3,4,11
275,8,7,16
276,13,10,5
277,3,4,11
278,14,13,6
279,1,0,0
280,1,3,0
281,10,9,2
282,5,3,13
283,1,1,0
284,0,2,0
285,2,2,0
286,3,4,11
287,6,8,14
288,0,1,0
289,15,10,5
290,0,2,0
291,0,2,0
292,2,1,0
293,3,4,11
294,5,3,13
295,0,2,0
296,0,2,0
297,0,2,0
298,1,3,0
299,0,2,0
300,0,2,0
301,0,2,0
302,0,2,0
303,0,2,0
304,0,2,0
305,0,2,0
306,0,1,0
307,2,0,0
308,0,2,0
309,0,2,0
310,0,2,0
311,0,2,0
312,0,2,0
313,0,1,0
314,0,2,0
315,0,1,0
316,0,2,0
317,13,10,5
318,0,2,0
319,0,2,0
320,0,2,0
321,2,2,0
322,0,2,0
323,0,2,0
324,0,2,0
325,0,2,0
326,0,2,0
327,0,2,0
328,0,2,0
329,0,2,0
330,0,2,0
331,0,2,0
332,0,1,0
333,2,1,0
334,1,2,0
335,0,2,0
336,0,0,0
337,0,2,0
338,0,2,0
339,1,2,0
340,0,2,0
341,0,2,0
342,0,2,0
343,0,1,0
344,0,2,0
345,0,2,0
346,0,2,0
347,0,2,0
348,1,1,0
349,1,1,0
350,2,0,0
351,0,2,0
352,0,2,0
353,0,1,0
354,1,2,0
355,0,2,0
356,0,2,0
357,0,2,0
358,0,1,0
359,0,2,0
360,0,2,0
361,0,1,0
362,0,2,0
363,0,2,0
364,0,2,0
365,0,1,0
366,0,2,0
367,0,2,0
368,0,2,0
369,0,1,0
370,0,2,0
371,0,2,0
372,0,2,0
373,0,2,0
374,0,2,0
375,0,2,0
376,0,2,0
377,0,2,0
378,0,2,0
379,0,2,0
380,0,2,0
381,0,2,0
382,2,1,0
383,0,2,0
384,0,2,0
385,2,2,0
386,0,1,0
387,0,2,0
388,0,1,0
389,0,1,0
390,0,2,0
391,0,2,0
392,0,2,0
393,0,1,0
394,0,2,0
395,0,2,0
396,0,2,0
397,0,2,0
398,0,2,0
399,0,2,0
400,0,2,0
401,0,2,0
402,0,2,0
403,0,1,0
404,0,2,0
405,1,2,0
406,1,2,0
407,0,2,0
408,0,2,0
409,0,2,0
410,0,1,0
411,1,1,0
412,0,1,0
413,0,1,0
414,1,2,0
415,0,2,0
416,0,0,0
417,0,1,0
418,0,2,0
419,0,2,0
420,0,2,0
421,1,2,0
422,0,2,0
423,0,2,0
424,0,2,0
425,0,2,0
426,0,2,0
427,1,1,0
428,0,2,0
429,4,0,12
430,0,2,0
431,0,1,0
432,0,2,0
433,0,2,0
434,0,2,0
435,0,2,0
436,1,2,0
437,0,2,0
438,0,2,0
439,1,2,0
440,0,2,0
441,0,2,0
442,0,1,0
443,0,1,0
444,0,2,0
445,0,2,0
446,0,2,0
447,0,1,0
448,0,2,0
449,0,2,0
450,0,2,0
451,0,1,0
452,0,2,0
453,0,2,0
454,0,1,0
455,0,1,0
456,6,1,0
457,0,2,0
458,1,2,0
459,1,2,0
460,0,1,0
461,0,2,0
462,0,2,0
463,0,1,0
464,0,2,0
465,1,1,0
466,1,1,0
467,0,1,0
468,0,2,0
469,0,1,0
470,2,0,0
471,0,1,0
472,0,2,0
473,0,2,0
474,0,2,0
475,0,2,0
476,0,2,0
477,0,1,0
478,0,2,0
479,2,2,0
480,0,2,0
481,0,2,0
482,0,2,0
483,0,2,0
484,0,2,0
485,0,1,0
486,1,0,0
487,0,2,0
488,0,2,0
489,1,2,0
490,0,2,0
491,0,1,0
492,1,2,0
493,1,2,0
494,1,0,1
495,1,2,0
496,1,2,0
497,1,1,0
498,1,1,0
499,1,2,0
500,1,2,0
501,1,1,0
502,1,1,0
503,6,0,0
504,0,2,0
505,5,3,13
506,1,2,0
507,0,2,0
508,1,1,0
509,1,1,0
510,1,1,0
511,1,0,0
512,1,1,0
513,2,1,0
514,1,1,0
515,1,1,0
516,1,5,12
517,5,3,13
518,1,1,0
519,1,0,0
520,1,1,0
521,1,2,0
522,1,2,0
523,1,2,0
524,2,0,0
525,1,2,0
526,5,3,13
527,1,1,0
528,1,2,0
529,0,1,0
530,1,2,0
531,1,0,0
532,1,1,0
533,0,0,0
534,1,2,0
535,1,1,0
536,1,0,0
537,1,1,0
538,1,0,0
539,11,6,12
540,1,1,0
541,1,2,0
542,1,3,0
543,1,3,0
544,0,2,0
545,1,0,0
546,0,1,0
547,0,1,0
548,0,1,0
549,1,1,0
550,1,2,0
551,0,3,0
552,1,2,0
553,1,2,0
554,1,2,0
555,1,1,0
556,1,1,0
557,1,2,0
558,1,1,0
559,1,1,0
560,1,1,0
561,1,0,0
562,1,2,0
563,4,5,12
564,4,5,12
565,4,5,12
566,4,5,12
567,4,5,12
568,4,5,12
569,4,5,12
570,4,5,12
571,4,5,12
572,4,5,12
573,4,5,12
574,4,5,12
575,4,5,12
576,4,5,12
577,4,5,12
578,4,5,12
579,4,5,12
580,4,5,12
581,4,5,12
582,4,5,12
583,4,5,12
584,4,5,12
585,4,5,12
586,4,5,12
587,4,5,12
588,4,5,12
589,4,5,12
590,4,5,12
591,4,5,12
592,4,5,12
593,4,5,12
594,4,5,12
595,4,5,12
596,4,5,12
597,4,5,12
598,4,5,12
599,4,5,12
600,4,5,12
601,4,5,12
602,4,5,12
603,4,5,12
604,4,5,12
605,4,5,12
606,4,5,12
607,4,5,12
608,4,5,12
609,3,4,11
610,4,5,12
611,4,5,12
612,4,5,12
613,4,5,12
614,4,5,12
615,4,5,12
616,4,5,12
617,4,5,12
618,4,5,12
619,4,5,12
620,4,5,12
621,4,5,12
622,4,5,12
623,4,5,12
624,4,5,12
625,4,5,12
626,4,5,12
627,4,5,12
628,4,5,12
629,4,5,12
630,4,5,12
631,4,5,12
632,4,5,12
633,4,5,12
634,4,5,12
635,4,5,12
636,4,5,12
637,4,5,12
638,4,5,12
639,4,5,12
640,4,5,12
641,4,5,12
642,4,5,12
643,4,5,12
644,4,5,12
645,4,5,12
646,4,5,12
647,4,5,12
648,4,5,12
649,4,5,12
650,4,5,12
651,4,5,12
652,4,5,12
653,4,5,12
654,4,5,12
655,4,5,12
656,4,5,12
657,4,5,12
658,4,5,12
659,4,5,12
660,4,5,12
661,4,5,12
662,4,5,12
663,4,5,12
664,4,5,12
665,4,5,12
666,4,5,12
667,4,5,12
668,4,5,12
669,4,5,12
670,4,5,12
671,4,5,12
672,4,5,12
673,4,5,12
674,4,5,12
675,4,5,12
676,4,5,12
677,4,5,12
678,4,5,12
679,4,5,12
680,4,5,12
681,4,5,12
682,4,5,12
683,4,5,12
684,4,5,12
685,4,5,12
686,4,5,12
687,4,5,12
688,4,5,12
689,4,5,12
690,4,5,12
691,4,5,12
692,4,5,12
693,4,5,12
694,4,5,12
695,4,5,12
696,4,5,12
697,4,5,12
698,4,5,12
699,3,4,11
700,3,4,11
701,3,4,11
702,3,4,11
703,3,4,11
704,3,4,11
705,3,4,11
706,3,4,11
707,3,4,11
708,3,4,11
709,3,4,11
710,3,4,11
711,3,4,11
712,3,4,11
713,3,4,11
714,3,4,11
715,3,4,11
716,3,4,11
717,3,4,11
718,3,4,11
719,3,4,11
720,3,4,11
721,3,4,11
722,3,4,11
723,3,4,11
724,3,4,11
725,3,4,11
726,3,4,11
727,3,4,11
728,3,4,11
729,3,4,11
730,3,4,11
731,3,4,11
732,3,4,11
733,3,4,11
734,3,4,11
735,3,4,11
736,3,4,11
737,3,4,11
738,3,4,11
739,3,4,11
740,3,4,11
741,3,4,11
742,3,4,11
743,3,4,11
744,3,4,11
745,3,4,11
746,3,4,11
747,3,4,11
748,3,4,11
749,3,4,11
750,3,4,11
751,3,4,11
752,3,4,11
753,3,4,11
754,3,4,11
755,3,4,11
756,3,4,11
757,3,4,11
758,3,4,11
759,3,4,11
760,3,4,11
761,3,4,11
762,3,4,11
763,3,4,11
764,3,4,11
765,3,4,11
766,3,4,11
767,3,4,11
768,3,4,11
769,3,4,11
770,3,4,11
771,3,4,11
772,3,4,11
773,3,4,11
774,3,4,11
775,3,4,11
776,3,4,11
777,3,4,11
778,3,4,11
779,3,4,11
780,3,4,11
781,3,4,11
782,3,4,11
783,3,4,11
784,3,4,11
785,3,4,11
786,3,4,11
787,3,4,11
788,3,4,11
789,3,4,11
790,3,4,11
791,3,4,11
792,3,4,11
793,3,4,11
794,3,4,11
795,3,4,11
796,3,4,11
797,3,4,11
798,3,4,11
799,3,4,11
800,3,4,11
801,3,4,11
802,3,4,11
803,3,4,11
804,3,4,11
805,3,4,11
806,1,2,0
807,2,2,0
808,2,2,0
809,2,2,0
810,1,2,0
811,2,2,0
812,1,2,0
813,1,2,0
814,2,2,0
815,1,2,0
816,1,2,0
817,1,2,0
818,1,2,0
819,2,2,0
820,2,2,0
821,1,2,0
822,2,2,0
823,0,2,0
824,2,2,0
825,1,2,0
826,1,2,0
827,1,2,0
828,1,2,0
829,1,2,0
830,1,2,0
831,2,2,0
832,1,2,0
833,1,2,0
834,2,2,0
835,1,1,0
836,1,2,0
837,2,2,0
838,1,2,0
839,2,2,0
840,2,2,0
841,1,2,0
842,1,2,0
843,2,2,0
844,1,2,0
845,11,2,12
846,1,2,0
847,2,2,0
848,5,1,13
849,1,2,0
850,2,2,0
851,1,2,0
852,2,2,0
853,1,2,0
854,1,2,0
855,1,2,0
856,1,2,0
857,1,1,0
858,2,2,0
859,2,2,0
860,2,2,0
861,1,2,0
862,0,2,0
863,1,2,0
864,1,1,0
865,2,1,0
866,1,2,0
867,1,2,0
868,1,2,0
869,1,2,0
870,2,2,0
871,2,2,0
872,1,2,0
873,2,2,0
874,2,2,0
875,1,2,0
876,1,2,0
877,2,2,0
878,1,2,0
879,2,2,0
880,2,1,0
881,2,2,0
882,1,2,0
883,2,2,0
884,2,2,0
885,1,2,0
886,1,2,0
887,2,2,0
888,0,2,0
889,1,2,0
890,2,2,0
891,2,2,0
892,1,2,0
893,2,2,0
894,2,2,10
895,2,2,0
896,1,2,0
897,1,2,0
898,2,2,0
899,1,2,0
900,1,2,0
901,2,1,0
902,1,2,0
903,1,2,0
904,1,2,0
905,2,2,0
906,2,2,0
907,1,2,0
908,1,2,0
909,2,2,0
910,0,2,0
911,1,2,0
912,2,1,0
913,1,2,0
914,1,2,0
915,2,2,0
916,2,2,0
917,2,2,0
918,0,2,0
919,2,2,0
920,1,3,0
921,1,2,0
922,0,2,0
923,2,2,0
924,1,2,0
925,1,1,0
926,1,1,0
927,2,2,0
928,1,2,1
929,2,2,0
930,2,2,0
931,1,2,0
932,2,2,0
933,2,2,0
934,2,2,0
935,2,2,0
936,2,2,0
937,2,2,0
938,2,2,0
939,1,2,0
940,1,2,0
941,2,2,0
942,1,2,0
943,1,2,0
944,2,2,0
945,2,2,0
946,1,2,0
947,2,2,0
948,1,2,0
949,1,2,0
950,1,2,0
951,1,2,0
952,2,2,0
953,1,2,0
954,1,2,0
955,1,1,0
956,2,2,0
957,1,2,0
958,1,2,0
959,2,2,0
960,0,2,0
961,2,2,0
962,1,2,0
963,2,2,0
964,2,2,0
965,1,2,0
966,1,2,0
967,2,2,10
968,2,2,0
969,2,2,0
970,1,2,0
971,2,2,0
972,1,2,0
973,1,2,0
974,2,2,0
975,1,1,0
976,8,7,16
977,8,7,16
978,8,7,16
979,8,7,16
980,8,7,16
981,8,7,16
982,8,7,16
983,15,10,7
984,8,7,16
985,8,7,16
986,15,10,5
987,8,7,16
988,8,7,16
989,15,10,7
990,8,7,16
991,8,7,16
992,8,7,16
993,8,7,16
994,8,7,16
995,8,7,16
996,8,7,16
997,8,7,16
998,8,7,16
999,15,10,7
1000,8,7,16
1001,8,7,16
1002,8,7,16
1003,15,10,7
1004,8,7,16
1005,8,7,16
1006,15,10,5
1007,8,7,16
1008,8,7,16
1009,8,7,16
1010,8,7,16
1011,15,7,7
1012,8,7,16
1013,8,7,16
1014,8,7,16
1015,8,7,16
1016,8,7,16
1017,8,7,16
1018,8,7,16
1019,8,7,16
1020,8,7,16
1021,15,10,5
1022,8,7,16
1023,8,7,16
1024,8,7,16
1025,15,10,7
1026,8,7,16
1027,8,7,16
1028,8,7,16
1029,8,7,16
1030,8,7,16
1031,8,7,16
1032,8,7,16
1033,8,7,16
1034,8,7,16
1035,15,7,5
1036,8,7,16
1037,8,7,16
1038,8,7,16
1039,8,7,16
1040,8,7,16
1041,8,7,16
1042,8,7,16
1043,8,7,16
1044,10,9,2
1045,10,9,2
1046,10,9,2
1047,10,9,2
1048,10,9,2
1049,10,9,2
1050,10,9,2
1051,10,9,2
1052,10,9,2
1053,10,9,2
1054,10,9,2
1055,10,9,2
1056,10,9,2
1057,10,9,2
1058,10,9,2
1059,10,9,2
1060,10,9,2
1061,10,9,2
1062,10,9,2
1063,10,9,2
1064,10,9,2
1065,10,9,2
1066,10,9,2
1067,10,9,2
1068,10,9,2
1069,10,9,2
1070,10,9,2
1071,10,9,2
1072,9,11,17
1073,14,13,6
1074,9,11,17
1075,14,13,6
1076,14,13,6
1077,9,11,17
1078,9,11,17
1079,9,11,17
1080,14,13,6
1081,9,11,17
1082,9,11,17
1083,9,11,17
1084,9,11,17
1085,9,11,17
1086,9,11,17
1087,9,11,17
1088,14,13,6
1089,14,13,6
1090,9,11,17
1091,14,13,6
1092,9,11,17
1093,14,13,6
1094,9,11,17
1095,14,13,6
1096,9,11,17
1097,14,13,6
1098,9,11,17
1099,14,13,6
1100,9,11,17
1101,9,11,17
1102,9,11,17
1103,14,13,6
1104,3,7,11
1105,9,11,17
1106,14,13,6
1107,9,11,17
1108,1,2,0
1109,5,3,13
1110,3,4,11
1111,0,1,0
1112,0,1,0
1113,0,0,0
1114,0,1,0
1115,1,1,0
1116,0,0,14
1117,1,1,0
1118,1,2,0
1119,0,2,0
1120,0,0,0
1121,0,1,0
1122,0,2,0
1123,0,2,0
1124,1,0,0
1125,1,1,0
1126,1,2,0
1127,1,1,0
1128,11,0,12
1129,1,1,0
1130,1,2,0
1131,0,2,0
1132,0,2,0
1133,1,1,0
1134,0,2,0
1135,1,1,0
1136,1,2,0
1137,0,1,0
1138,0,1,0
1139,0,0,0
1140,6,2,0
1141,1,1,0
1142,2,1,0
1143,1,2,0
1144,1,1,0
1145,1,2,0
1146,0,2,0
1147,2,1,0
1148,0,2,0
1149,0,1,0
