,desc_labels
0,12
1,1
2,3
3,2
4,12
5,5
6,2
7,7
8,5
9,0
10,7
11,3
12,9
13,5
14,6
15,1
16,5
17,2
18,6
19,1
20,9
21,6
22,2
23,12
24,7
25,2
26,12
27,4
28,2
29,2
30,2
31,3
32,2
33,4
34,5
35,7
36,5
37,12
38,7
39,1
40,5
41,0
42,4
43,3
44,2
45,4
46,5
47,3
48,13
49,6
50,7
51,4
52,5
53,10
54,11
55,4
56,2
57,3
58,5
59,2
60,1
61,3
62,3
63,2
64,6
65,3
66,6
67,2
68,11
69,6
70,5
71,6
72,2
73,10
74,4
75,5
76,0
77,0
78,11
79,2
80,3
81,1
82,2
83,2
84,6
85,9
86,13
87,13
88,2
89,6
90,2
91,13
92,2
93,2
94,11
95,2
96,7
97,1
98,6
99,1
100,12
101,3
102,2
103,5
104,2
105,4
106,2
107,6
108,7
109,2
110,1
111,9
112,4
113,2
114,10
115,4
116,2
117,2
118,3
119,2
120,4
121,4
122,5
123,11
124,9
125,4
126,3
127,5
128,13
129,3
130,2
131,4
132,5
133,5
134,2
135,2
136,11
137,3
138,2
139,11
140,7
141,2
142,0
143,2
144,3
145,3
146,2
147,2
148,2
149,6
150,4
151,12
152,5
153,7
154,3
155,2
156,7
157,2
158,2
159,2
160,2
161,2
162,6
163,5
164,4
165,3
166,2
167,3
168,4
169,7
170,3
171,2
172,4
173,5
174,4
175,3
176,1
177,0
178,5
179,2
180,7
181,2
182,2
183,4
184,4
185,10
186,1
187,4
188,0
189,2
190,3
191,10
192,4
193,4
194,12
195,10
196,6
197,3
198,7
199,2
200,4
201,2
202,3
203,5
204,6
205,0
206,4
207,3
208,4
209,2
210,2
211,3
212,3
213,0
214,5
215,4
216,6
217,5
218,1
219,7
220,1
221,1
222,2
223,2
224,2
225,5
226,3
227,2
228,3
229,2
230,2
231,2
232,2
233,2
234,6
235,4
236,5
237,2
238,1
239,5
240,10
241,5
242,1
243,1
244,2
245,2
246,5
247,2
248,0
249,2
250,3
251,2
252,0
253,10
254,2
255,2
256,1
257,6
258,4
259,2
260,10
261,3
262,6
263,6
264,4
265,5
266,3
267,12
268,4
269,3
270,5
271,3
272,5
273,4
274,4
275,7
276,10
277,4
278,13
279,0
280,3
281,9
282,3
283,1
284,2
285,2
286,4
287,8
288,1
289,10
290,2
291,2
292,1
293,4
294,3
295,2
296,2
297,2
298,3
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,1
307,0
308,2
309,2
310,2
311,2
312,2
313,1
314,2
315,1
316,2
317,10
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,1
333,1
334,2
335,2
336,0
337,2
338,2
339,2
340,2
341,2
342,2
343,1
344,2
345,2
346,2
347,2
348,1
349,1
350,0
351,2
352,2
353,1
354,2
355,2
356,2
357,2
358,1
359,2
360,2
361,1
362,2
363,2
364,2
365,1
366,2
367,2
368,2
369,1
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,1
383,2
384,2
385,2
386,1
387,2
388,1
389,1
390,2
391,2
392,2
393,1
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,1
404,2
405,2
406,2
407,2
408,2
409,2
410,1
411,1
412,1
413,1
414,2
415,2
416,0
417,1
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,1
428,2
429,0
430,2
431,1
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,1
443,1
444,2
445,2
446,2
447,1
448,2
449,2
450,2
451,1
452,2
453,2
454,1
455,1
456,1
457,2
458,2
459,2
460,1
461,2
462,2
463,1
464,2
465,1
466,1
467,1
468,2
469,1
470,0
471,1
472,2
473,2
474,2
475,2
476,2
477,1
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,1
486,0
487,2
488,2
489,2
490,2
491,1
492,2
493,2
494,0
495,2
496,2
497,1
498,1
499,2
500,2
501,1
502,1
503,0
504,2
505,3
506,2
507,2
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,5
517,3
518,1
519,0
520,1
521,2
522,2
523,2
524,0
525,2
526,3
527,1
528,2
529,1
530,2
531,0
532,1
533,0
534,2
535,1
536,0
537,1
538,0
539,6
540,1
541,2
542,3
543,3
544,2
545,0
546,1
547,1
548,1
549,1
550,2
551,3
552,2
553,2
554,2
555,1
556,1
557,2
558,1
559,1
560,1
561,0
562,2
563,5
564,5
565,5
566,5
567,5
568,5
569,5
570,5
571,5
572,5
573,5
574,5
575,5
576,5
577,5
578,5
579,5
580,5
581,5
582,5
583,5
584,5
585,5
586,5
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,5
595,5
596,5
597,5
598,5
599,5
600,5
601,5
602,5
603,5
604,5
605,5
606,5
607,5
608,5
609,4
610,5
611,5
612,5
613,5
614,5
615,5
616,5
617,5
618,5
619,5
620,5
621,5
622,5
623,5
624,5
625,5
626,5
627,5
628,5
629,5
630,5
631,5
632,5
633,5
634,5
635,5
636,5
637,5
638,5
639,5
640,5
641,5
642,5
643,5
644,5
645,5
646,5
647,5
648,5
649,5
650,5
651,5
652,5
653,5
654,5
655,5
656,5
657,5
658,5
659,5
660,5
661,5
662,5
663,5
664,5
665,5
666,5
667,5
668,5
669,5
670,5
671,5
672,5
673,5
674,5
675,5
676,5
677,5
678,5
679,5
680,5
681,5
682,5
683,5
684,5
685,5
686,5
687,5
688,5
689,5
690,5
691,5
692,5
693,5
694,5
695,5
696,5
697,5
698,5
699,4
700,4
701,4
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,4
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,4
722,4
723,4
724,4
725,4
726,4
727,4
728,4
729,4
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,2
807,2
808,2
809,2
810,2
811,2
812,2
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,2
823,2
824,2
825,2
826,2
827,2
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,1
836,2
837,2
838,2
839,2
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,1
849,2
850,2
851,2
852,2
853,2
854,2
855,2
856,2
857,1
858,2
859,2
860,2
861,2
862,2
863,2
864,1
865,1
866,2
867,2
868,2
869,2
870,2
871,2
872,2
873,2
874,2
875,2
876,2
877,2
878,2
879,2
880,1
881,2
882,2
883,2
884,2
885,2
886,2
887,2
888,2
889,2
890,2
891,2
892,2
893,2
894,2
895,2
896,2
897,2
898,2
899,2
900,2
901,1
902,2
903,2
904,2
905,2
906,2
907,2
908,2
909,2
910,2
911,2
912,1
913,2
914,2
915,2
916,2
917,2
918,2
919,2
920,3
921,2
922,2
923,2
924,2
925,1
926,1
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,2
935,2
936,2
937,2
938,2
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,1
956,2
957,2
958,2
959,2
960,2
961,2
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,2
972,2
973,2
974,2
975,1
976,7
977,7
978,7
979,7
980,7
981,7
982,7
983,10
984,7
985,7
986,10
987,7
988,7
989,10
990,7
991,7
992,7
993,7
994,7
995,7
996,7
997,7
998,7
999,10
1000,7
1001,7
1002,7
1003,10
1004,7
1005,7
1006,10
1007,7
1008,7
1009,7
1010,7
1011,7
1012,7
1013,7
1014,7
1015,7
1016,7
1017,7
1018,7
1019,7
1020,7
1021,10
1022,7
1023,7
1024,7
1025,10
1026,7
1027,7
1028,7
1029,7
1030,7
1031,7
1032,7
1033,7
1034,7
1035,7
1036,7
1037,7
1038,7
1039,7
1040,7
1041,7
1042,7
1043,7
1044,9
1045,9
1046,9
1047,9
1048,9
1049,9
1050,9
1051,9
1052,9
1053,9
1054,9
1055,9
1056,9
1057,9
1058,9
1059,9
1060,9
1061,9
1062,9
1063,9
1064,9
1065,9
1066,9
1067,9
1068,9
1069,9
1070,9
1071,9
1072,11
1073,13
1074,11
1075,13
1076,13
1077,11
1078,11
1079,11
1080,13
1081,11
1082,11
1083,11
1084,11
1085,11
1086,11
1087,11
1088,13
1089,13
1090,11
1091,13
1092,11
1093,13
1094,11
1095,13
1096,11
1097,13
1098,11
1099,13
1100,11
1101,11
1102,11
1103,13
1104,7
1105,11
1106,13
1107,11
1108,2
1109,3
1110,4
1111,1
1112,1
1113,0
1114,1
1115,1
1116,0
