,leiden_labels
0,5
1,0
2,6
3,2
4,6
5,1
6,3
7,5
8,6
9,4
10,4
11,1
12,0
13,1
14,4
15,5
16,6
17,6
18,4
19,7
20,3
21,1
22,7
23,1
24,0
25,2
26,4
27,1
28,1
29,6
30,6
31,6
32,3
33,6
34,0
35,4
36,6
37,6
38,1
39,3
40,4
41,0
42,8
43,1
44,6
45,0
46,6
47,3
48,5
49,4
50,1
51,2
52,3
53,10
54,4
55,3
56,6
57,0
58,4
59,0
60,4
61,0
62,0
63,0
64,5
65,6
66,5
67,1
68,1
69,3
70,3
71,3
72,2
73,4
74,2
75,2
76,6
77,3
78,4
79,1
80,1
81,1
82,2
83,3
84,5
85,5
86,3
87,5
88,4
89,3
90,1
91,4
92,5
93,3
94,5
95,2
96,0
97,1
98,3
99,6
100,0
101,4
102,0
103,0
104,3
105,5
106,4
107,3
108,6
109,0
110,1
111,4
112,5
113,6
114,7
115,5
116,4
117,2
118,9
119,1
120,6
121,3
122,4
123,4
124,4
125,4
126,3
127,0
128,3
129,0
130,3
131,4
132,2
133,4
134,1
135,2
136,4
137,4
138,6
139,0
140,3
141,2
142,0
143,1
144,0
145,4
146,0
147,5
148,1
149,1
150,5
151,1
152,1
153,0
154,2
155,1
156,5
157,3
158,2
159,4
160,2
161,1
162,1
163,2
164,7
165,5
166,0
167,5
168,4
169,0
170,1
171,4
172,3
173,1
174,2
175,7
176,5
177,3
178,0
179,6
180,3
181,2
182,4
183,0
184,0
185,7
186,6
187,1
188,5
189,1
190,6
191,5
192,1
193,2
194,0
195,6
196,6
197,1
198,1
199,1
200,7
201,3
202,4
203,6
204,6
205,0
206,6
207,6
208,6
209,3
210,4
211,4
212,2
213,6
214,2
215,0
216,5
217,2
218,6
219,6
220,1
221,2
222,3
223,2
224,0
225,6
226,2
227,2
228,0
229,8
230,6
231,6
232,0
233,4
234,3
235,2
236,0
237,4
238,1
239,0
240,6
241,6
242,3
243,0
244,6
245,0
246,0
247,2
248,6
249,1
250,2
251,0
252,6
253,4
254,4
255,2
256,4
257,1
258,4
259,6
260,1
261,5
262,4
263,1
264,3
265,0
266,6
267,1
268,2
269,4
270,1
271,3
272,3
273,4
274,1
275,1
276,4
277,0
278,2
279,5
280,0
281,1
282,4
283,0
284,1
285,1
286,3
287,7
288,0
289,3
290,0
291,9
292,6
293,3
294,3
295,3
296,4
297,5
298,4
299,2
300,0
301,4
302,3
303,2
304,3
305,3
306,3
307,4
308,5
309,4
310,2
311,7
312,3
313,0
314,5
315,7
316,6
317,4
318,4
319,5
320,3
321,10
322,6
323,3
324,0
325,1
326,4
327,5
328,1
329,4
330,3
331,1
332,5
333,1
334,0
335,3
336,5
337,4
338,0
339,0
340,0
341,4
342,1
343,2
344,4
345,0
346,2
347,0
348,2
349,0
350,7
351,1
352,0
353,3
354,5
355,4
356,10
357,0
358,3
359,3
360,0
361,0
362,1
363,6
364,1
365,2
366,3
367,5
368,1
369,6
370,4
371,0
372,1
373,2
374,1
375,5
376,5
377,3
378,3
379,0
380,0
381,1
382,3
383,6
384,5
385,1
386,4
387,0
388,0
389,1
390,1
391,6
392,0
393,4
394,1
395,4
396,5
397,5
398,0
399,6
400,0
401,9
402,2
403,1
404,7
405,1
406,4
407,1
408,0
409,1
410,0
411,3
412,0
413,3
414,0
415,1
416,2
417,9
418,1
419,0
420,4
421,3
422,0
423,5
424,3
425,5
426,1
427,1
428,0
429,5
430,1
431,3
432,1
433,3
434,0
435,0
436,0
437,5
438,5
439,2
440,3
441,3
442,5
443,3
444,2
445,4
446,1
447,1
448,3
449,6
450,5
451,2
452,8
453,0
454,0
455,6
456,3
457,2
458,2
459,0
460,4
461,2
462,1
463,2
464,1
465,2
466,5
467,3
468,2
469,5
470,0
471,2
472,0
473,3
474,5
475,1
476,2
477,4
478,1
479,5
480,2
481,0
482,2
483,2
484,3
485,2
486,3
487,0
488,0
489,2
490,4
491,4
492,4
493,1
494,1
495,3
496,3
497,1
498,0
499,5
500,1
501,9
502,2
503,4
