,desc_labels
0,6
1,0
2,0
3,0
4,6
5,2
6,0
7,3
8,2
9,0
10,3
11,0
12,2
13,2
14,2
15,0
16,2
17,0
18,2
19,0
20,2
21,1
22,0
23,6
24,3
25,0
26,6
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,2
35,3
36,2
37,6
38,3
39,0
40,2
41,0
42,1
43,0
44,0
45,1
46,2
47,0
48,7
49,2
50,3
51,1
52,2
53,4
54,5
55,1
56,0
57,0
58,2
59,0
60,0
61,0
62,0
63,0
64,2
65,0
66,2
67,0
68,5
69,2
70,2
71,2
72,0
73,4
74,1
75,2
76,0
77,0
78,5
79,0
80,0
81,0
82,0
83,0
84,2
85,2
86,7
87,7
88,0
89,2
90,0
91,7
92,0
93,0
94,5
95,0
96,3
97,0
98,2
99,0
100,6
101,2
102,0
103,2
104,0
105,1
106,0
107,2
108,3
109,0
110,0
111,2
112,1
113,0
114,4
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,2
123,5
124,2
125,1
126,0
127,2
128,7
129,0
130,0
131,1
132,2
133,2
134,0
135,0
136,5
137,0
138,0
139,5
140,3
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,2
150,1
151,6
152,2
153,3
154,0
155,0
156,3
157,0
158,0
159,0
160,0
161,0
162,2
163,2
164,1
165,0
166,0
167,0
168,1
169,3
170,0
171,0
172,1
173,2
174,1
175,0
176,0
177,0
178,2
179,0
180,3
181,0
182,0
183,1
184,1
185,4
186,0
187,1
188,0
189,0
190,0
191,4
192,1
193,1
194,6
195,4
196,2
197,0
198,3
199,0
200,1
201,0
202,0
203,2
204,2
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,2
215,1
216,2
217,2
218,0
219,3
220,0
221,0
222,0
223,0
224,0
225,2
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,2
235,1
236,0
237,0
238,0
239,2
240,4
241,2
242,0
243,0
244,0
245,0
246,2
247,0
248,0
249,0
250,0
251,0
252,0
253,4
254,0
255,0
256,0
257,2
258,1
259,0
260,4
261,0
262,2
263,2
264,1
265,2
266,0
267,6
268,1
269,0
270,2
271,0
272,0
273,1
274,1
275,3
276,4
277,1
278,7
279,0
280,0
281,2
282,0
283,0
284,0
285,0
286,1
287,2
288,0
289,4
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,4
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
