,leiden_labels
0,8
1,0
2,3
3,0
4,8
5,4
6,0
7,5
8,4
9,0
10,6
11,3
12,2
13,4
14,2
15,0
16,4
17,0
18,2
19,0
20,2
21,0
22,0
23,8
24,5
25,0
26,8
27,1
28,0
29,0
30,0
31,3
32,0
33,1
34,0
35,5
36,4
37,8
38,6
39,0
40,4
41,0
42,1
43,3
44,0
45,1
46,0
47,0
48,9
49,2
50,5
51,1
52,4
53,6
54,7
55,1
56,0
57,3
58,4
59,0
60,0
61,3
62,3
63,0
64,2
65,3
66,2
67,0
68,7
69,2
70,4
71,2
72,0
73,6
74,1
75,4
76,0
77,0
78,7
79,0
80,3
81,0
82,0
83,0
84,2
85,2
86,9
87,9
88,0
89,2
90,0
91,9
92,0
93,0
94,7
95,0
96,5
97,0
98,2
99,0
100,8
101,3
102,0
103,4
104,0
105,1
106,0
107,2
108,5
109,0
110,0
111,2
112,1
113,0
114,6
115,1
116,0
117,0
118,3
119,0
120,1
121,1
122,0
123,7
124,0
125,1
126,0
127,0
128,9
129,3
130,0
131,1
132,0
133,0
134,0
135,0
136,7
137,3
138,0
139,7
140,5
141,0
142,0
143,0
144,3
145,3
146,0
147,0
148,0
149,2
150,1
151,8
152,4
153,5
154,3
155,0
156,5
157,0
158,0
159,0
160,0
161,0
162,2
163,4
164,1
165,3
166,0
167,3
168,1
169,5
170,3
171,0
172,1
173,4
174,1
175,3
176,0
177,0
178,4
179,0
180,5
181,0
182,0
183,1
184,1
185,6
186,0
187,1
188,0
189,0
190,3
191,6
192,1
193,1
194,8
195,6
196,2
197,3
198,5
199,0
200,1
201,0
202,3
203,4
204,2
205,0
206,1
207,3
208,1
209,0
210,0
211,3
212,3
213,0
214,4
215,1
216,2
217,4
218,0
219,5
220,0
221,0
222,0
223,0
224,0
225,4
226,0
227,0
228,3
229,0
230,0
231,0
232,0
233,0
234,2
235,1
236,0
237,0
238,0
239,4
240,6
241,4
242,0
243,0
244,0
245,0
246,4
247,0
248,0
249,0
250,3
251,0
252,0
253,6
254,0
255,0
256,0
257,2
258,1
259,0
260,6
261,3
262,2
263,2
264,1
265,4
266,0
267,8
268,1
269,0
270,0
271,3
272,0
273,1
274,1
275,5
276,6
277,1
278,9
279,0
280,0
281,2
282,3
283,0
284,0
285,0
286,1
287,0
288,0
289,6
290,0
291,0
292,0
293,1
294,3
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,6
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,3
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,3
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,4
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,4
580,4
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,1
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,0
627,4
628,4
629,4
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,0
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,4
654,4
655,4
656,4
657,4
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,0
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,0
693,4
694,4
695,4
696,4
697,4
698,4
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
