,desc_labels
0,6
1,0
2,2
3,3
4,2
5,4
6,5
7,1
8,1
9,2
10,2
11,6
12,0
13,0
14,2
15,6
16,2
17,2
18,2
19,6
20,5
21,6
22,6
23,6
24,0
25,3
26,2
27,6
28,6
29,2
30,2
31,2
32,5
33,5
34,0
35,2
36,2
37,5
38,3
39,5
40,2
41,0
42,7
43,6
44,2
45,0
46,5
47,2
48,6
49,2
50,6
51,3
52,5
53,6
54,2
55,2
56,2
57,0
58,2
59,0
60,2
61,0
62,0
63,0
64,6
65,6
66,6
67,4
68,6
69,6
70,5
71,5
72,3
73,2
74,3
75,3
76,2
77,2
78,2
79,0
80,6
81,4
82,3
83,5
84,6
85,6
86,2
87,5
88,2
89,6
90,6
91,2
92,6
93,5
94,6
95,0
96,3
97,4
98,5
99,2
100,0
101,2
102,0
103,3
104,2
105,1
106,2
107,5
108,2
109,0
110,0
111,2
112,6
113,2
114,6
115,6
116,2
117,3
118,8
119,6
120,5
121,5
122,2
123,2
124,2
125,2
126,5
127,0
128,5
129,0
130,5
131,2
132,3
133,2
134,4
135,3
136,2
137,2
138,2
139,0
140,2
141,3
142,0
143,0
144,0
145,2
146,0
147,6
148,3
149,6
150,5
151,4
152,3
153,0
154,3
155,6
156,6
157,5
158,3
159,2
160,3
161,3
162,4
163,3
164,6
165,6
166,0
167,6
168,2
169,0
170,0
171,2
172,5
173,0
174,0
175,6
176,6
177,5
178,0
179,2
180,5
181,3
182,2
183,3
184,3
185,6
186,2
187,3
188,6
189,4
190,2
191,5
192,3
193,3
194,0
195,2
196,2
197,0
198,6
199,6
200,6
201,5
202,2
203,2
204,2
205,3
206,1
207,2
208,5
209,6
210,2
211,2
212,3
213,2
214,3
215,0
216,1
217,3
218,2
219,2
220,6
221,3
222,2
223,3
224,0
225,5
226,3
227,3
228,0
229,7
230,5
231,5
232,0
233,2
234,1
235,3
236,0
237,2
238,6
239,3
240,5
241,2
242,5
243,0
244,5
245,3
246,0
247,3
248,6
249,0
250,3
251,0
252,2
253,2
254,2
255,3
256,2
257,6
258,2
259,2
260,4
261,6
262,2
263,6
264,2
265,0
266,2
267,6
268,3
269,2
270,6
271,2
272,5
273,2
274,0
275,0
276,2
277,0
278,3
279,6
280,0
281,0
282,2
283,0
284,0
285,4
286,2
287,6
288,0
289,2
290,3
291,8
292,5
293,2
294,5
295,5
296,2
297,5
298,2
299,3
300,0
301,2
302,5
303,3
304,5
305,5
306,5
307,2
308,6
309,2
310,3
311,6
312,2
313,0
314,1
315,6
316,2
317,2
318,2
319,6
320,2
321,6
322,2
323,5
324,3
325,4
326,2
327,6
328,0
329,2
330,5
331,6
332,6
333,6
334,0
335,2
336,5
337,2
338,0
339,0
340,0
341,2
342,0
343,3
344,2
345,0
346,3
347,3
348,3
349,0
350,6
351,6
352,0
353,5
354,6
355,2
356,4
357,0
