,leiden_labels
0,0
1,1
2,4
3,3
4,4
5,5
6,4
7,0
8,4
9,2
10,2
11,6
12,1
13,5
14,2
15,0
16,4
17,2
18,2
19,7
20,0
21,5
22,7
23,6
24,1
25,3
26,2
27,5
28,6
29,4
30,4
31,4
32,0
33,4
34,5
35,2
36,4
37,4
38,8
39,0
40,2
41,5
42,8
43,5
44,4
45,1
46,4
47,4
48,0
49,2
50,5
51,3
52,0
53,6
54,2
55,2
56,4
57,1
58,2
59,1
60,2
61,1
62,5
63,1
64,0
65,4
66,0
67,5
68,5
69,0
70,0
71,0
72,3
73,2
74,3
75,3
76,4
77,2
78,2
79,5
80,5
81,5
82,3
83,0
84,0
85,0
86,2
87,0
88,2
89,0
90,5
91,2
92,0
93,0
94,0
95,1
96,1
97,5
98,0
99,4
100,1
101,2
102,1
103,1
104,2
105,0
106,2
107,0
108,4
109,1
110,5
111,2
112,0
113,2
114,7
115,0
116,2
117,3
118,9
119,6
120,4
121,0
122,2
123,2
124,2
125,2
126,0
127,1
128,4
129,1
130,4
131,2
132,3
133,2
134,6
135,3
136,2
137,2
138,4
139,1
140,0
141,3
142,1
143,6
144,1
145,2
146,1
147,0
148,5
149,6
150,0
151,6
152,6
153,1
154,3
155,6
156,0
157,0
158,3
159,2
160,3
161,6
162,5
163,3
164,7
165,0
166,1
167,0
168,2
169,1
170,6
171,2
172,0
173,6
174,3
175,7
176,0
177,0
178,1
179,4
180,0
181,3
182,2
183,1
184,1
185,7
186,4
187,5
188,6
189,5
190,4
191,0
192,6
193,3
194,1
195,4
196,4
197,1
198,5
199,6
200,7
201,0
202,2
203,4
204,4
205,1
206,4
207,4
208,4
209,0
210,2
211,2
212,5
213,4
214,3
215,1
216,0
217,3
218,2
219,4
220,6
221,3
222,2
223,3
224,5
225,4
226,5
227,3
228,1
229,8
230,4
231,4
232,1
233,2
234,0
235,3
236,1
237,2
238,6
239,1
240,4
241,4
242,0
243,1
244,4
245,1
246,1
247,3
248,0
249,5
250,3
251,1
252,4
253,2
254,2
255,3
256,2
257,5
258,2
259,4
260,5
261,0
262,2
263,5
264,2
265,1
266,4
267,5
268,3
269,2
270,6
271,4
272,2
273,2
274,5
275,1
276,2
277,1
278,3
279,6
280,1
281,1
282,2
283,5
284,5
285,6
286,2
287,7
288,1
289,2
290,1
291,9
292,4
293,2
294,0
295,2
296,2
297,0
298,2
299,3
300,1
301,2
302,0
303,3
304,0
305,2
306,0
307,2
308,0
309,2
310,3
311,7
312,2
313,1
314,0
315,7
316,4
317,2
318,2
319,0
320,2
321,6
322,4
323,0
324,1
325,6
326,2
327,0
328,6
329,2
330,2
331,6
332,0
333,6
334,1
335,2
336,0
337,2
338,1
339,1
340,1
341,2
342,5
343,3
344,2
345,1
346,3
347,1
348,3
349,1
350,7
351,5
352,1
353,2
354,0
355,2
356,6
357,1
358,0
359,0
360,1
361,1
362,5
363,4
364,6
365,5
366,0
367,0
368,5
369,4
370,2
371,1
372,6
373,3
374,5
375,0
376,0
377,0
378,0
379,1
380,1
381,5
382,0
383,4
384,0
385,5
386,2
387,1
388,1
389,6
390,5
391,4
392,5
393,2
394,5
395,2
396,0
397,0
398,1
399,4
400,5
401,9
402,3
403,6
404,7
405,5
406,2
407,6
408,1
409,6
410,1
411,0
412,5
413,0
414,1
415,6
416,3
417,9
418,6
419,1
420,2
421,2
422,1
423,0
424,0
425,0
426,1
427,6
428,1
429,0
430,5
431,0
432,6
433,2
434,1
435,1
436,1
437,0
438,0
439,3
440,0
441,0
442,0
443,0
444,3
445,2
446,6
447,5
448,0
449,4
450,6
451,3
452,8
453,1
454,1
455,4
456,2
457,3
458,3
459,1
460,2
461,3
462,6
463,3
464,5
465,3
466,0
467,0
468,3
469,0
470,1
471,3
472,1
473,0
474,0
475,6
476,3
477,2
478,6
479,6
480,3
481,1
482,3
483,3
484,0
485,3
486,0
487,1
488,1
489,3
490,2
491,2
492,2
493,1
494,5
495,0
496,0
497,6
498,1
499,0
500,6
501,9
502,3
503,2
504,2
505,6
506,7
507,2
508,2
509,1
510,1
511,5
512,0
513,0
514,1
515,0
516,2
517,3
518,1
519,1
520,2
521,1
522,2
523,0
524,5
525,8
526,6
527,4
528,3
529,6
530,5
531,3
532,6
533,0
534,3
535,1
536,4
537,3
538,2
539,0
540,7
541,8
542,2
543,1
544,5
545,4
546,0
547,2
548,3
549,1
550,3
551,0
552,1
553,0
554,1
555,5
556,8
557,3
558,6
559,3
560,1
561,6
562,1
563,2
564,2
565,0
566,0
567,3
568,5
569,0
570,6
571,0
572,1
573,5
574,2
575,3
576,1
577,0
578,6
579,1
580,6
581,2
582,0
583,5
584,6
585,3
586,3
587,5
588,2
589,1
590,5
591,5
592,0
593,3
594,5
595,1
596,3
597,0
598,0
599,5
600,1
601,8
602,3
603,0
604,1
605,1
606,1
607,8
608,6
609,4
610,6
611,6
612,9
613,2
614,8
615,2
616,0
617,0
618,2
619,2
620,5
621,0
622,3
623,2
624,6
625,0
626,1
627,6
628,6
629,6
630,6
631,0
632,0
633,0
634,1
635,1
636,8
637,1
638,5
639,0
640,1
641,0
642,0
643,1
644,3
645,1
646,9
647,6
648,5
649,1
650,2
651,9
652,5
653,1
654,2
655,2
656,3
657,1
658,6
659,3
660,1
661,5
662,3
663,0
664,1
665,6
666,5
667,2
668,2
669,2
670,2
671,1
672,6
673,2
674,2
675,3
676,0
677,6
678,1
679,0
680,2
681,2
682,0
683,2
684,6
685,2
686,1
687,5
688,2
689,0
690,6
691,3
692,1
693,1
694,1
695,1
696,5
697,3
698,1
699,0
700,6
701,0
702,1
703,2
704,4
705,1
706,1
707,3
708,2
709,5
710,4
711,1
712,4
713,0
714,4
715,8
716,3
717,3
718,0
719,2
720,7
721,1
722,1
723,7
724,0
725,3
726,2
727,4
728,5
729,0
730,2
731,4
732,1
733,4
734,4
735,3
736,3
737,7
738,3
739,3
740,5
741,4
742,1
743,7
744,1
745,1
746,3
747,2
748,1
749,3
750,0
751,2
752,1
753,1
754,5
755,0
756,5
757,0
758,3
759,0
760,3
761,3
762,6
763,0
764,1
765,3
766,3
767,1
768,1
769,2
770,0
771,0
772,5
773,1
774,3
775,4
776,2
777,2
778,2
779,0
780,2
781,5
782,1
783,1
784,3
785,2
786,4
787,3
788,1
789,3
790,1
791,3
792,2
793,7
794,3
795,1
796,5
797,5
798,0
799,3
800,0
801,9
802,2
803,5
804,1
805,7
806,5
807,0
808,1
809,0
810,5
811,1
812,5
813,4
814,2
815,3
816,2
817,0
818,2
819,0
820,5
821,1
822,1
823,7
824,3
825,5
826,0
827,2
828,5
829,0
830,2
831,6
832,3
833,2
834,5
835,3
836,0
837,2
838,2
839,2
840,7
841,2
842,4
843,1
844,6
845,0
846,1
847,0
848,4
849,4
850,1
851,7
852,0
853,2
854,0
855,9
856,2
857,3
858,2
859,2
860,3
861,3
862,5
863,1
864,1
865,1
866,0
867,0
868,0
869,2
870,0
871,2
872,1
873,2
874,3
875,3
876,0
877,3
878,0
879,5
880,4
881,0
882,2
883,4
884,1
885,5
886,0
887,1
888,5
889,1
890,8
891,6
892,6
893,0
894,3
895,1
896,3
897,2
898,4
899,5
900,0
901,2
902,4
903,3
904,5
905,6
906,0
907,0
908,3
909,0
910,1
911,6
912,1
913,2
914,3
915,5
916,1
917,2
918,1
919,3
920,2
921,6
922,0
923,0
924,4
925,1
926,2
927,0
928,1
929,0
930,1
931,6
932,5
933,4
934,2
935,2
936,1
937,3
938,3
939,2
940,9
941,2
942,5
943,2
944,4
945,3
946,3
947,0
948,2
949,1
950,3
951,2
952,0
953,0
954,1
955,2
956,0
957,4
958,2
959,0
960,3
961,8
962,5
963,2
964,4
965,0
966,4
967,9
968,4
969,1
970,2
971,2
972,0
973,2
974,0
975,0
976,4
977,4
978,5
979,4
980,3
981,1
982,2
983,1
984,2
985,2
986,3
987,5
988,5
989,0
990,3
991,1
992,3
993,7
994,0
995,7
996,1
997,5
998,4
999,0
1000,2
1001,5
1002,1
1003,4
1004,2
1005,2
1006,3
1007,2
1008,0
1009,4
1010,3
1011,5
1012,0
1013,0
1014,3
1015,1
1016,3
1017,1
1018,2
1019,1
1020,1
1021,6
1022,6
1023,0
1024,2
1025,0
1026,2
1027,3
1028,2
1029,2
1030,4
1031,2
1032,1
1033,1
1034,7
1035,2
1036,0
1037,0
1038,3
1039,2
1040,5
1041,4
1042,0
1043,3
1044,0
1045,1
1046,0
1047,2
1048,1
1049,2
1050,6
1051,2
1052,3
1053,0
1054,0
1055,7
1056,0
1057,6
1058,2
1059,4
