,celltype
D101_5,gamma
D101_43,gamma
D101_93,gamma
D102_4,gamma
D172444_23,gamma
D172444_68,gamma
D17All1_2,gamma
D17All1_18,gamma
D17All1_28,gamma
D17All1_72,gamma
D17All2_14,gamma
D17All2_28,gamma
D17All2_38,gamma
D17All2_46,gamma
D17All2_63,gamma
D17All2_85,gamma
D17All2_92,gamma
D73_20,gamma
D28-1_74,gamma
D28-1_76,gamma
D28-1_85,gamma
D28-2_37,gamma
D28-2_63,gamma
D28-2_91,gamma
D28-3_14,gamma
D28-3_18,gamma
D28-4_26,gamma
D28-4_38,gamma
D28-4_90,gamma
D28-5_2,gamma
D28-7_4,gamma
D28-8_38,gamma
D29-1_12,gamma
D29-1_15,gamma
D29-1_35,gamma
D29-1_58,gamma
D29-1_66,gamma
D29-1_67,gamma
D29-1_71,gamma
D29-1_72,gamma
D29-1_73,gamma
D29-1_86,gamma
D29-1_90,gamma
D29-2_19,gamma
D29-2_42,gamma
D29-2_43,gamma
D29-2_47,gamma
D29-2_58,gamma
D29-2_59,gamma
D29-2_64,gamma
D29-2_68,gamma
D29-2_78,gamma
D29-2_87,gamma
D29-2_92,gamma
D29-3_15,gamma
D29-3_16,gamma
D29-3_32,gamma
D29-3_44,gamma
D29-3_71,gamma
D29-4_3,gamma
D29-4_4,gamma
D29-4_6,gamma
D29-4_20,gamma
D29-4_48,gamma
D29-4_86,gamma
D29-5_6,gamma
D29-5_51,gamma
D29-5_79,gamma
D29-6_4,gamma
D29-6_6,gamma
D29-6_9,gamma
D29-6_11,gamma
D29-6_33,gamma
D29-6_55,gamma
D29-6_88,gamma
D29-7_8,gamma
D29-7_23,gamma
D29-7_30,gamma
D29-7_34,gamma
D29-7_35,gamma
D29-7_36,gamma
D29-7_40,gamma
D29-7_60,gamma
D29-7_61,gamma
D29-7_77,gamma
D29-7_89,gamma
D29-7_93,gamma
D29-7_94,gamma
D29-8_19,gamma
D29-8_43,gamma
D29-8_48,gamma
D30-2_8,gamma
D30-3_15,gamma
D30-3_21,gamma
D30-5_74,gamma
D30-6_90,gamma
D31-1_65,gamma
D31-1_79,gamma
D31-1_80,gamma
D31-1_81,gamma
D31-2_55,gamma
D31-2_60,gamma
D31-3_30,gamma
D31-3_51,gamma
D31-3_54,gamma
D31-3_56,gamma
D31-3_61,gamma
D31-3_72,gamma
D31-3_77,gamma
D31-4_4,gamma
D31-4_15,gamma
D31-4_37,gamma
D31-4_40,gamma
D31-6_5,gamma
D31-6_32,gamma
D31-6_71,gamma
D31-7_15,gamma
D31-7_79,gamma
D31-7_92,gamma
D31-8_10,gamma
D31-8_15,gamma
D31-8_16,gamma
D31-8_25,gamma
D31-8_26,gamma
D31-8_36,gamma
D31-8_67,gamma
D31-8_70,gamma
D31-8_87,gamma
10th_C58_S111,gamma
10th_C6_S88,gamma
10th_C78_S114,gamma
10th_C8_S52,gamma
11th-C10_S63,gamma
11th-C39_S21,gamma
3rd-C40_S57,gamma
3rd-C44_S32,gamma
3rd-C47_S35,gamma
3rd-C53_S67,gamma
5th-C9_S92,gamma
7th-C24_S40,gamma
7th-C82_S64,gamma
8th-C69_S119,gamma
8th-C91_S158,gamma
8th-C92_S157,gamma
9th-C66_S33,gamma
9th-C79_S57,gamma
AZ_A2,gamma
AZ_H5,gamma
AZ_G5,gamma
AZ_D8,gamma
AZ_D12,gamma
HP1502401_H13,gamma
HP1502401_L14,gamma
HP1502401_K14,gamma
HP1502401_F17,gamma
HP1502401_E5,gamma
HP1502401_E7,gamma
HP1502401_B18,gamma
HP1502401_K24,gamma
HP1502401_K23,gamma
HP1502401_F18,gamma
HP1502401_G11,gamma
HP1502401_G12,gamma
HP1502401_N23,gamma
HP1502401_B15,gamma
HP1502401_N11,gamma
HP1502401_N9,gamma
HP1502401_F15,gamma
HP1502401_B11,gamma
HP1502401_I8,gamma
HP1504101T2D_B4,gamma
HP1504101T2D_B10,gamma
HP1504101T2D_G16,gamma
HP1504101T2D_A15,gamma
HP1504101T2D_K2,gamma
HP1504101T2D_B22,gamma
HP1504101T2D_G4,gamma
HP1504101T2D_L13,gamma
HP1504101T2D_B24,gamma
HP1504101T2D_H14,gamma
HP1504101T2D_A20,gamma
HP1504101T2D_I7,gamma
HP1504101T2D_E11,gamma
HP1504101T2D_E18,gamma
HP1504101T2D_L15,gamma
HP1504101T2D_D17,gamma
HP1504101T2D_A4,gamma
HP1504101T2D_P9,gamma
HP1504101T2D_F11,gamma
HP1504101T2D_O4,gamma
HP1504101T2D_E4,gamma
HP1504101T2D_I16,gamma
HP1504101T2D_D1,gamma
HP1504101T2D_D18,gamma
HP1504101T2D_F2,gamma
HP1504101T2D_I15,gamma
HP1504101T2D_I10,gamma
HP1504101T2D_E14,gamma
HP1504101T2D_P24,gamma
HP1504101T2D_E9,gamma
HP1504101T2D_B17,gamma
HP1504101T2D_N20,gamma
HP1504101T2D_C12,gamma
HP1504101T2D_I19,gamma
HP1504101T2D_M1,gamma
HP1504101T2D_A13,gamma
HP1504101T2D_D21,gamma
HP1504101T2D_B18,gamma
HP1504101T2D_A17,gamma
HP1504101T2D_E7,gamma
HP1504101T2D_G3,gamma
HP1504101T2D_C21,gamma
HP1504101T2D_K8,gamma
HP1504101T2D_D24,gamma
HP1504101T2D_F14,gamma
HP1504101T2D_B5,gamma
