,CellType
0,Microglia
1,Excitatory neuron
2,Excitatory neuron
3,Excitatory neuron
4,Microglia
5,Inhibitory neuron
6,Excitatory neuron
7,Oligodendrocyte
8,Excitatory neuron
9,Excitatory neuron
10,Oligodendrocyte
11,Excitatory neuron
12,Excitatory neuron
13,Inhibitory neuron
14,Excitatory neuron
15,Excitatory neuron
16,Inhibitory neuron
17,Excitatory neuron
18,Inhibitory neuron
19,Excitatory neuron
20,Inhibitory neuron
21,Excitatory neuron
22,Excitatory neuron
23,Excitatory neuron
24,Oligodendrocyte
25,Excitatory neuron
26,Microglia
27,Astrocyte
28,Excitatory neuron
29,Excitatory neuron
30,Excitatory neuron
31,Excitatory neuron
32,Excitatory neuron
33,Astrocyte
34,Excitatory neuron
35,Oligodendrocyte
36,Inhibitory neuron
37,Microglia
38,Oligodendrocyte
39,Excitatory neuron
40,Inhibitory neuron
41,Excitatory neuron
42,Astrocyte
43,Excitatory neuron
44,Excitatory neuron
45,Astrocyte
46,Excitatory neuron
47,Excitatory neuron
48,Excitatory neuron
49,Inhibitory neuron
50,Oligodendrocyte
51,Astrocyte
52,Inhibitory neuron
53,Oligodendrocyte
54,Endothelial
55,Astrocyte
56,Excitatory neuron
57,Excitatory neuron
58,Excitatory neuron
59,Excitatory neuron
60,Excitatory neuron
61,Excitatory neuron
62,Excitatory neuron
63,Excitatory neuron
64,Inhibitory neuron
65,Excitatory neuron
66,Inhibitory neuron
67,Excitatory neuron
68,Endothelial
69,Excitatory neuron
70,Inhibitory neuron
71,Excitatory neuron
72,Excitatory neuron
73,OPC
74,Astrocyte
75,Inhibitory neuron
76,Excitatory neuron
77,Excitatory neuron
78,Endothelial
79,Excitatory neuron
80,Excitatory neuron
81,Excitatory neuron
82,Excitatory neuron
83,Excitatory neuron
84,Excitatory neuron
85,Excitatory neuron
86,Excitatory neuron
87,Astrocyte
88,Excitatory neuron
89,Inhibitory neuron
90,Excitatory neuron
91,Excitatory neuron
92,Excitatory neuron
93,Excitatory neuron
94,Endothelial
95,Excitatory neuron
96,Oligodendrocyte
97,Excitatory neuron
98,Inhibitory neuron
99,Excitatory neuron
100,Microglia
101,Excitatory neuron
102,Excitatory neuron
103,Inhibitory neuron
104,Excitatory neuron
105,Astrocyte
106,Excitatory neuron
107,Inhibitory neuron
108,Oligodendrocyte
109,Excitatory neuron
110,Excitatory neuron
111,Excitatory neuron
112,Astrocyte
113,Excitatory neuron
114,OPC
115,Astrocyte
116,Excitatory neuron
117,Excitatory neuron
118,Excitatory neuron
119,Excitatory neuron
120,Astrocyte
121,Astrocyte
122,Excitatory neuron
123,Endothelial
124,Excitatory neuron
125,Astrocyte
126,Excitatory neuron
127,Excitatory neuron
128,Excitatory neuron
129,Excitatory neuron
130,Excitatory neuron
131,Astrocyte
132,Excitatory neuron
133,Excitatory neuron
134,Excitatory neuron
135,Excitatory neuron
136,Endothelial
137,Excitatory neuron
138,Excitatory neuron
139,Endothelial
140,Oligodendrocyte
141,Excitatory neuron
142,Excitatory neuron
143,Excitatory neuron
144,Excitatory neuron
145,Excitatory neuron
146,Excitatory neuron
147,Excitatory neuron
148,Excitatory neuron
149,Inhibitory neuron
150,Astrocyte
151,Microglia
152,Inhibitory neuron
153,Excitatory neuron
154,Excitatory neuron
155,Excitatory neuron
156,Excitatory neuron
157,Excitatory neuron
158,Excitatory neuron
159,Excitatory neuron
160,Excitatory neuron
161,Excitatory neuron
162,Inhibitory neuron
163,Excitatory neuron
164,Astrocyte
165,Excitatory neuron
166,Excitatory neuron
167,Excitatory neuron
168,Astrocyte
169,Oligodendrocyte
170,Excitatory neuron
171,Excitatory neuron
172,Excitatory neuron
173,Inhibitory neuron
174,Astrocyte
175,Excitatory neuron
176,Excitatory neuron
177,Excitatory neuron
178,Excitatory neuron
179,Excitatory neuron
180,Oligodendrocyte
181,Excitatory neuron
182,Excitatory neuron
183,Astrocyte
184,Astrocyte
185,Excitatory neuron
186,Excitatory neuron
187,Astrocyte
188,Excitatory neuron
189,Excitatory neuron
190,Excitatory neuron
191,Excitatory neuron
192,Astrocyte
193,Astrocyte
194,Microglia
195,OPC
196,Inhibitory neuron
197,Excitatory neuron
198,Oligodendrocyte
199,Excitatory neuron
200,Astrocyte
201,Excitatory neuron
202,Excitatory neuron
203,Excitatory neuron
204,Inhibitory neuron
205,Excitatory neuron
206,Astrocyte
207,Excitatory neuron
208,Astrocyte
209,Excitatory neuron
210,Excitatory neuron
211,Excitatory neuron
212,Excitatory neuron
213,Excitatory neuron
214,Inhibitory neuron
215,Astrocyte
216,Excitatory neuron
217,Inhibitory neuron
218,Excitatory neuron
219,Oligodendrocyte
220,Excitatory neuron
221,Excitatory neuron
222,Excitatory neuron
223,Excitatory neuron
224,Excitatory neuron
225,Inhibitory neuron
226,Excitatory neuron
227,Excitatory neuron
228,Excitatory neuron
229,Excitatory neuron
230,Excitatory neuron
231,Excitatory neuron
232,Excitatory neuron
233,Excitatory neuron
234,Inhibitory neuron
235,Astrocyte
236,Excitatory neuron
237,Excitatory neuron
238,Excitatory neuron
239,Inhibitory neuron
240,OPC
241,Inhibitory neuron
242,Excitatory neuron
243,Excitatory neuron
244,Excitatory neuron
245,Excitatory neuron
246,Inhibitory neuron
247,Excitatory neuron
248,Excitatory neuron
249,Excitatory neuron
250,Excitatory neuron
251,Excitatory neuron
252,Excitatory neuron
253,OPC
254,Excitatory neuron
255,Excitatory neuron
256,Excitatory neuron
257,Inhibitory neuron
258,Astrocyte
259,Excitatory neuron
260,OPC
261,Excitatory neuron
262,Inhibitory neuron
263,Inhibitory neuron
264,Astrocyte
265,Inhibitory neuron
266,Excitatory neuron
267,Microglia
268,Astrocyte
269,Excitatory neuron
270,Excitatory neuron
271,Excitatory neuron
272,Inhibitory neuron
273,Astrocyte
274,Astrocyte
275,Oligodendrocyte
276,OPC
277,Excitatory neuron
278,Astrocyte
279,Excitatory neuron
280,Excitatory neuron
281,Excitatory neuron
282,Excitatory neuron
283,Excitatory neuron
284,Excitatory neuron
285,Excitatory neuron
286,Astrocyte
287,Excitatory neuron
288,Excitatory neuron
289,Excitatory neuron
290,Excitatory neuron
291,Excitatory neuron
292,Excitatory neuron
293,Astrocyte
294,Excitatory neuron
295,Excitatory neuron
296,Excitatory neuron
297,Excitatory neuron
298,Excitatory neuron
299,Excitatory neuron
300,Excitatory neuron
301,Excitatory neuron
302,Excitatory neuron
303,Excitatory neuron
304,Excitatory neuron
305,Excitatory neuron
306,Excitatory neuron
307,Excitatory neuron
308,Excitatory neuron
309,Excitatory neuron
310,Excitatory neuron
311,Excitatory neuron
312,Excitatory neuron
313,Excitatory neuron
314,Excitatory neuron
315,Excitatory neuron
316,Excitatory neuron
317,Excitatory neuron
318,Excitatory neuron
319,Excitatory neuron
320,Excitatory neuron
321,Excitatory neuron
322,Excitatory neuron
323,Excitatory neuron
324,Excitatory neuron
325,Excitatory neuron
326,Excitatory neuron
327,Excitatory neuron
328,Excitatory neuron
329,Excitatory neuron
330,Excitatory neuron
331,Excitatory neuron
332,Excitatory neuron
333,Excitatory neuron
334,Excitatory neuron
335,Excitatory neuron
336,Excitatory neuron
337,Excitatory neuron
338,Excitatory neuron
339,Excitatory neuron
340,Excitatory neuron
341,Excitatory neuron
342,Excitatory neuron
343,Excitatory neuron
344,Excitatory neuron
345,Excitatory neuron
346,Excitatory neuron
347,Excitatory neuron
348,Excitatory neuron
349,Excitatory neuron
350,Excitatory neuron
351,Excitatory neuron
352,Excitatory neuron
353,Excitatory neuron
354,Excitatory neuron
355,Excitatory neuron
356,Excitatory neuron
357,Excitatory neuron
358,Excitatory neuron
359,Excitatory neuron
360,Excitatory neuron
361,Excitatory neuron
362,Excitatory neuron
363,Excitatory neuron
364,Excitatory neuron
365,Excitatory neuron
366,Excitatory neuron
367,Excitatory neuron
368,Excitatory neuron
369,Excitatory neuron
370,Excitatory neuron
371,Excitatory neuron
372,Excitatory neuron
373,Excitatory neuron
374,Excitatory neuron
375,Excitatory neuron
376,Excitatory neuron
377,Excitatory neuron
378,Excitatory neuron
379,Excitatory neuron
380,Excitatory neuron
381,Excitatory neuron
382,Excitatory neuron
383,Excitatory neuron
384,Excitatory neuron
385,Excitatory neuron
386,Excitatory neuron
387,Excitatory neuron
388,Excitatory neuron
389,Excitatory neuron
390,Excitatory neuron
391,Excitatory neuron
392,Excitatory neuron
393,Excitatory neuron
394,Excitatory neuron
395,Excitatory neuron
396,Excitatory neuron
397,Excitatory neuron
398,Excitatory neuron
399,Excitatory neuron
400,Excitatory neuron
401,Excitatory neuron
402,Excitatory neuron
403,Excitatory neuron
404,Excitatory neuron
405,Excitatory neuron
406,Excitatory neuron
407,Excitatory neuron
408,Excitatory neuron
409,Excitatory neuron
410,Excitatory neuron
411,Excitatory neuron
412,Excitatory neuron
413,Excitatory neuron
414,Excitatory neuron
415,Excitatory neuron
416,Excitatory neuron
417,Excitatory neuron
418,Excitatory neuron
419,Excitatory neuron
420,Excitatory neuron
421,Excitatory neuron
422,Excitatory neuron
423,Excitatory neuron
424,Excitatory neuron
425,Excitatory neuron
426,Excitatory neuron
427,Excitatory neuron
428,Excitatory neuron
429,Excitatory neuron
