,leiden_labels
0,12
1,2
2,5
3,1
4,12
5,4
6,2
7,8
8,4
9,2
10,15
11,5
12,10
13,4
14,7
15,0
16,4
17,0
18,7
19,1
20,10
21,3
22,0
23,12
24,8
25,0
26,12
27,3
28,2
29,2
30,1
31,5
32,1
33,3
34,4
35,8
36,4
37,12
38,15
39,1
40,4
41,0
42,3
43,5
44,2
45,3
46,11
47,6
48,14
49,7
50,8
51,3
52,4
53,15
54,9
55,3
56,2
57,16
58,4
59,11
60,1
61,16
62,5
63,0
64,7
65,5
66,7
67,1
68,9
69,7
70,4
71,7
72,2
73,13
74,3
75,4
76,1
77,2
78,9
79,2
80,5
81,1
82,0
83,2
84,7
85,10
86,14
87,14
88,1
89,7
90,1
91,14
92,2
93,2
94,9
95,2
96,8
97,0
98,7
99,1
100,12
101,16
102,1
103,4
104,1
105,3
106,0
107,7
108,8
109,1
110,2
111,10
112,3
113,0
114,13
115,3
116,0
117,2
118,5
119,2
120,3
121,3
122,11
123,9
124,2
125,3
126,1
127,11
128,14
129,5
130,1
131,3
132,4
133,11
134,1
135,2
136,9
137,5
138,1
139,9
140,8
141,2
142,1
143,0
144,16
145,5
146,2
147,1
148,2
149,7
150,3
151,12
152,4
153,8
154,5
155,1
156,8
157,1
158,1
159,11
160,2
161,0
162,7
163,4
164,3
165,5
166,2
167,5
168,3
169,8
170,5
171,2
172,3
173,4
174,3
175,16
176,0
177,2
178,4
179,2
180,8
181,0
182,0
183,3
184,3
185,13
186,1
187,3
188,0
189,0
190,5
191,13
192,3
193,3
194,12
195,13
196,7
197,5
198,8
199,1
200,3
201,2
202,5
203,4
204,7
205,1
206,3
207,5
208,3
209,0
210,2
211,5
212,16
213,1
214,4
215,3
216,7
217,4
218,2
219,8
220,2
221,0
222,1
223,1
224,2
225,4
226,1
227,0
228,5
229,2
230,1
231,2
232,1
233,1
234,7
235,3
236,0
237,2
238,1
239,4
240,13
241,4
242,2
243,1
244,2
245,1
246,4
247,2
248,2
249,11
250,5
251,1
252,2
253,13
254,1
255,2
256,0
257,7
258,3
259,2
260,13
261,5
262,7
263,7
264,3
265,4
266,2
267,12
268,3
269,2
270,4
271,5
272,0
273,3
274,3
275,8
276,13
277,3
278,14
279,1
280,1
281,10
282,5
283,1
284,0
285,2
286,3
287,6
288,0
289,15
290,0
291,0
292,2
293,3
294,5
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,2
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,13
318,0
319,0
320,0
321,2
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,2
334,1
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,2
351,0
352,0
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,2
383,0
384,0
385,2
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,4
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,6
457,0
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,2
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,2
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,6
504,0
505,5
506,1
507,0
508,1
509,1
510,1
511,1
512,1
513,2
514,1
515,1
516,1
517,5
518,1
519,1
520,1
521,1
522,1
523,1
524,2
525,1
526,5
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,1
538,1
539,11
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,0
548,0
549,1
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,4
564,4
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,4
580,4
581,4
582,4
583,4
584,4
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,4
600,4
601,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,3
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,4
654,4
655,4
656,4
657,4
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,4
698,4
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,3
731,3
732,3
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,3
745,3
746,3
747,3
748,3
749,3
750,3
751,3
752,3
753,3
754,3
755,3
756,3
757,3
758,3
759,3
760,3
761,3
762,3
763,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,3
781,3
782,3
783,3
784,3
785,3
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,3
794,3
795,3
796,3
797,3
798,3
799,3
800,3
801,3
802,3
803,3
804,3
805,3
806,1
807,2
808,2
809,2
810,1
811,2
812,1
813,1
814,2
815,1
816,1
817,1
818,1
819,2
820,2
821,1
822,2
823,0
824,2
825,1
826,1
827,1
828,1
829,1
830,1
831,2
832,1
833,1
834,2
835,1
836,1
837,2
838,1
839,2
840,2
841,1
842,1
843,2
844,1
845,11
846,1
847,2
848,5
849,1
