,paul15_clusters,paul15_label,celltype,sc3s_labels
0,7MEP,MEP,MEP,4
1,15Mo,Mo,Mo,2
2,3Ery,Ery,Ery,8
3,15Mo,Mo,Mo,3
4,3Ery,Ery,Ery,6
5,15Mo,Mo,Mo,1
6,4Ery,Ery,Ery,7
7,2Ery,Ery,Ery,4
8,3Ery,Ery,Ery,7
9,2Ery,Ery,Ery,5
10,2Ery,Ery,Ery,9
11,17Neu,Neu,Neu,1
12,14Mo,Mo,Mo,1
13,13Baso,Baso,Baso,1
14,3Ery,Ery,Ery,5
15,7MEP,MEP,MEP,4
16,3Ery,Ery,Ery,8
17,3Ery,Ery,Ery,6
18,2Ery,Ery,Ery,5
19,8Mk,Mk,Mk,1
20,3Ery,Ery,Ery,7
21,9GMP,GMP,GMP,1
22,8Mk,Mk,Mk,1
23,10GMP,GMP,GMP,1
24,15Mo,Mo,Mo,2
25,16Neu,Neu,Neu,3
26,4Ery,Ery,Ery,0
27,13Baso,Baso,Baso,1
28,17Neu,Neu,Neu,1
29,3Ery,Ery,Ery,6
30,2Ery,Ery,Ery,6
31,3Ery,Ery,Ery,8
32,5Ery,Ery,Ery,0
33,3Ery,Ery,Ery,8
34,13Baso,Baso,Baso,2
35,1Ery,Ery,Ery,5
36,3Ery,Ery,Ery,6
37,6Ery,Ery,Ery,7
38,15Mo,Mo,Mo,3
39,3Ery,Ery,Ery,0
40,3Ery,Ery,Ery,5
41,14Mo,Mo,Mo,2
42,19Lymph,Lymph,Lymph,1
43,12Baso,Baso,Baso,1
44,3Ery,Ery,Ery,8
45,14Mo,Mo,Mo,2
46,6Ery,Ery,Ery,9
47,4Ery,Ery,Ery,8
48,7MEP,MEP,MEP,4
49,2Ery,Ery,Ery,5
50,13Baso,Baso,Baso,1
51,14Mo,Mo,Mo,3
52,6Ery,Ery,Ery,7
53,18Eos,Eos,Eos,3
54,4Ery,Ery,Ery,9
55,3Ery,Ery,Ery,9
56,3Ery,Ery,Ery,8
57,14Mo,Mo,Mo,2
58,2Ery,Ery,Ery,5
59,13Baso,Baso,Baso,2
60,2Ery,Ery,Ery,5
61,13Baso,Baso,Baso,2
62,13Baso,Baso,Baso,2
63,14Mo,Mo,Mo,2
64,7MEP,MEP,MEP,4
65,7MEP,MEP,MEP,7
66,7MEP,MEP,MEP,4
67,10GMP,GMP,GMP,1
68,12Baso,Baso,Baso,1
69,6Ery,Ery,Ery,4
70,5Ery,Ery,Ery,7
71,5Ery,Ery,Ery,0
72,14Mo,Mo,Mo,3
73,4Ery,Ery,Ery,6
74,16Neu,Neu,Neu,3
75,16Neu,Neu,Neu,3
76,3Ery,Ery,Ery,8
77,2Ery,Ery,Ery,0
78,6Ery,Ery,Ery,9
79,13Baso,Baso,Baso,2
80,13Baso,Baso,Baso,1
81,10GMP,GMP,GMP,1
82,14Mo,Mo,Mo,3
83,5Ery,Ery,Ery,0
84,7MEP,MEP,MEP,4
85,7MEP,MEP,MEP,4
86,5Ery,Ery,Ery,9
87,6Ery,Ery,Ery,4
88,2Ery,Ery,Ery,5
89,10GMP,GMP,GMP,4
90,10GMP,GMP,GMP,1
91,2Ery,Ery,Ery,5
92,7MEP,MEP,MEP,4
93,6Ery,Ery,Ery,7
94,7MEP,MEP,MEP,4
95,14Mo,Mo,Mo,2
96,16Neu,Neu,Neu,2
97,10GMP,GMP,GMP,1
98,3Ery,Ery,Ery,0
99,3Ery,Ery,Ery,8
100,13Baso,Baso,Baso,2
101,1Ery,Ery,Ery,5
102,14Mo,Mo,Mo,2
103,15Mo,Mo,Mo,2
104,2Ery,Ery,Ery,9
105,5Ery,Ery,Ery,4
106,2Ery,Ery,Ery,5
107,5Ery,Ery,Ery,0
108,3Ery,Ery,Ery,8
109,14Mo,Mo,Mo,2
110,10GMP,GMP,GMP,1
111,2Ery,Ery,Ery,5
112,7MEP,MEP,MEP,4
113,4Ery,Ery,Ery,5
114,9GMP,GMP,GMP,1
115,7MEP,MEP,MEP,4
116,3Ery,Ery,Ery,5
117,16Neu,Neu,Neu,3
118,11DC,DC,DC,2
119,10GMP,GMP,GMP,1
120,6Ery,Ery,Ery,7
121,3Ery,Ery,Ery,7
122,2Ery,Ery,Ery,5
123,5Ery,Ery,Ery,9
124,2Ery,Ery,Ery,0
125,2Ery,Ery,Ery,5
126,5Ery,Ery,Ery,0
127,14Mo,Mo,Mo,2
128,5Ery,Ery,Ery,9
129,14Mo,Mo,Mo,2
130,3Ery,Ery,Ery,7
131,2Ery,Ery,Ery,5
132,16Neu,Neu,Neu,3
133,2Ery,Ery,Ery,5
134,13Baso,Baso,Baso,1
135,16Neu,Neu,Neu,3
136,2Ery,Ery,Ery,5
137,3Ery,Ery,Ery,5
138,3Ery,Ery,Ery,8
139,14Mo,Mo,Mo,2
140,5Ery,Ery,Ery,0
141,16Neu,Neu,Neu,3
142,14Mo,Mo,Mo,2
143,14Mo,Mo,Mo,2
144,13Baso,Baso,Baso,2
145,3Ery,Ery,Ery,5
146,14Mo,Mo,Mo,2
147,7MEP,MEP,MEP,4
148,14Mo,Mo,Mo,1
149,10GMP,GMP,GMP,1
150,2Ery,Ery,Ery,0
151,14Mo,Mo,Mo,1
152,15Mo,Mo,Mo,1
153,14Mo,Mo,Mo,2
154,16Neu,Neu,Neu,3
155,10GMP,GMP,GMP,1
156,7MEP,MEP,MEP,4
157,5Ery,Ery,Ery,0
158,16Neu,Neu,Neu,3
159,2Ery,Ery,Ery,0
160,16Neu,Neu,Neu,3
161,14Mo,Mo,Mo,3
162,10GMP,GMP,GMP,1
163,16Neu,Neu,Neu,3
164,8Mk,Mk,Mk,4
165,7MEP,MEP,MEP,4
166,14Mo,Mo,Mo,2
167,7MEP,MEP,MEP,4
168,2Ery,Ery,Ery,0
169,14Mo,Mo,Mo,2
170,14Mo,Mo,Mo,2
171,4Ery,Ery,Ery,0
172,5Ery,Ery,Ery,0
173,14Mo,Mo,Mo,2
174,14Mo,Mo,Mo,2
175,10GMP,GMP,GMP,4
176,6Ery,Ery,Ery,4
177,5Ery,Ery,Ery,0
178,14Mo,Mo,Mo,2
179,3Ery,Ery,Ery,5
180,5Ery,Ery,Ery,0
181,15Mo,Mo,Mo,3
182,5Ery,Ery,Ery,9
183,14Mo,Mo,Mo,2
184,16Neu,Neu,Neu,2
185,8Mk,Mk,Mk,4
186,3Ery,Ery,Ery,6
187,14Mo,Mo,Mo,3
188,12Baso,Baso,Baso,1
189,14Mo,Mo,Mo,1
190,3Ery,Ery,Ery,6
191,5Ery,Ery,Ery,4
192,16Neu,Neu,Neu,1
193,15Mo,Mo,Mo,3
194,13Baso,Baso,Baso,2
195,5Ery,Ery,Ery,9
196,3Ery,Ery,Ery,8
197,13Baso,Baso,Baso,2
198,12Baso,Baso,Baso,1
199,8Mk,Mk,Mk,4
200,7MEP,MEP,MEP,4
201,6Ery,Ery,Ery,7
202,2Ery,Ery,Ery,5
203,3Ery,Ery,Ery,8
204,3Ery,Ery,Ery,6
205,15Mo,Mo,Mo,2
206,3Ery,Ery,Ery,7
207,3Ery,Ery,Ery,6
208,3Ery,Ery,Ery,8
209,8Mk,Mk,Mk,4
210,2Ery,Ery,Ery,9
211,2Ery,Ery,Ery,5
212,14Mo,Mo,Mo,3
213,3Ery,Ery,Ery,8
214,15Mo,Mo,Mo,1
215,14Mo,Mo,Mo,2
216,7MEP,MEP,MEP,7
217,15Mo,Mo,Mo,3
218,3Ery,Ery,Ery,0
219,3Ery,Ery,Ery,6
220,13Baso,Baso,Baso,1
221,15Mo,Mo,Mo,3
222,3Ery,Ery,Ery,8
223,15Mo,Mo,Mo,3
224,13Baso,Baso,Baso,2
225,3Ery,Ery,Ery,7
226,15Mo,Mo,Mo,3
227,15Mo,Mo,Mo,3
228,13Baso,Baso,Baso,2
