adata_index_name,scarf_cluster_result,new_column
D101_5,10,D101_5
D101_43,10,D101_43
D101_93,10,D101_93
D102_4,10,D102_4
D172444_23,8,D172444_23
D172444_68,10,D172444_68
D17All1_2,-1,D17All1_2
D17All1_18,10,D17All1_18
D17All1_28,10,D17All1_28
D17All1_72,-1,D17All1_72
D17All2_14,-1,D17All2_14
D17All2_28,10,D17All2_28
D17All2_38,10,D17All2_38
D17All2_46,10,D17All2_46
D17All2_63,10,D17All2_63
D17All2_85,10,D17All2_85
D17All2_92,-1,D17All2_92
D73_20,10,D73_20
D28-1_74,-1,D28-1_74
D28-1_76,5,D28-1_76
D28-1_85,-1,D28-1_85
D28-2_37,-1,D28-2_37
D28-2_63,-1,D28-2_63
D28-2_91,-1,D28-2_91
D28-3_14,5,D28-3_14
D28-3_18,-1,D28-3_18
D28-4_26,-1,D28-4_26
D28-4_38,-1,D28-4_38
D28-4_90,-1,D28-4_90
D28-5_2,-1,D28-5_2
D28-7_4,-1,D28-7_4
D28-8_38,-1,D28-8_38
D29-1_12,5,D29-1_12
D29-1_15,5,D29-1_15
D29-1_35,5,D29-1_35
D29-1_58,-1,D29-1_58
D29-1_66,5,D29-1_66
D29-1_67,-1,D29-1_67
D29-1_71,-1,D29-1_71
D29-1_72,-1,D29-1_72
D29-1_73,5,D29-1_73
D29-1_86,-1,D29-1_86
D29-1_90,-1,D29-1_90
D29-2_19,5,D29-2_19
D29-2_42,5,D29-2_42
D29-2_43,5,D29-2_43
D29-2_47,5,D29-2_47
D29-2_58,-1,D29-2_58
D29-2_59,5,D29-2_59
D29-2_64,-1,D29-2_64
D29-2_68,-1,D29-2_68
D29-2_78,-1,D29-2_78
D29-2_87,-1,D29-2_87
D29-2_92,5,D29-2_92
D29-3_15,5,D29-3_15
D29-3_16,5,D29-3_16
D29-3_32,5,D29-3_32
D29-3_44,5,D29-3_44
D29-3_71,5,D29-3_71
D29-4_3,5,D29-4_3
D29-4_4,5,D29-4_4
D29-4_6,5,D29-4_6
D29-4_20,5,D29-4_20
D29-4_48,-1,D29-4_48
D29-4_86,5,D29-4_86
D29-5_6,-1,D29-5_6
D29-5_51,5,D29-5_51
D29-5_79,5,D29-5_79
D29-6_4,-1,D29-6_4
D29-6_6,-1,D29-6_6
D29-6_9,5,D29-6_9
D29-6_11,5,D29-6_11
D29-6_33,5,D29-6_33
D29-6_55,5,D29-6_55
D29-6_88,5,D29-6_88
D29-7_8,5,D29-7_8
D29-7_23,-1,D29-7_23
D29-7_30,-1,D29-7_30
D29-7_34,-1,D29-7_34
D29-7_35,-1,D29-7_35
D29-7_36,5,D29-7_36
D29-7_40,5,D29-7_40
D29-7_60,-1,D29-7_60
D29-7_61,-1,D29-7_61
D29-7_77,5,D29-7_77
D29-7_89,5,D29-7_89
D29-7_93,-1,D29-7_93
D29-7_94,-1,D29-7_94
D29-8_19,5,D29-8_19
D29-8_43,5,D29-8_43
D29-8_48,5,D29-8_48
D30-2_8,-1,D30-2_8
D30-3_15,-1,D30-3_15
D30-3_21,5,D30-3_21
D30-5_74,5,D30-5_74
D30-6_90,5,D30-6_90
D31-1_65,-1,D31-1_65
D31-1_79,-1,D31-1_79
D31-1_80,-1,D31-1_80
D31-1_81,5,D31-1_81
D31-2_55,-1,D31-2_55
D31-2_60,5,D31-2_60
D31-3_30,-1,D31-3_30
D31-3_51,5,D31-3_51
D31-3_54,5,D31-3_54
D31-3_56,-1,D31-3_56
D31-3_61,5,D31-3_61
D31-3_72,-1,D31-3_72
D31-3_77,-1,D31-3_77
D31-4_4,5,D31-4_4
D31-4_15,5,D31-4_15
D31-4_37,-1,D31-4_37
D31-4_40,5,D31-4_40
D31-6_5,5,D31-6_5
D31-6_32,5,D31-6_32
D31-6_71,-1,D31-6_71
D31-7_15,5,D31-7_15
